VarRet,VarVanillaIw,MinVanillaIw,AvgVanillaIw,VarJ,eRenyi2,MaxVanillaIw,BatchSize,VanillaAvgRet,EpsThisIter,ESSClassic,VarDiscRet,MaxNormIw,AvgEpLen,ESSRenyi,AvgNormIw,Bound,MinNormIw,IterType,Delta,AvgDiscRet,J,VarNormIw,AvgRet
2562.3935211,,1.0,1.0,50.3663,1.0,1.0,200,-69.5785397224,100,100.0,2562.3935211,0.01,99.19,200.0,0.01,-133.297,0.01,2,0.3,-69.5785397224,-69.5785,3.50449e-18,-69.5785397224
6194.84509684,0.0438333,0.253474,1.02203,57.732,1.04541,1.44271,200,-78.0739819755,100,191.98396108,6194.84509684,0.00705804,107.62,191.312732595,0.005,-117.39,0.00124005,1,0.3,-78.0739819755,-71.3216,1.04909e-06,-78.0739819755
4964.892518,,1.0,1.0,70.1088,1.0,1.0,200,-76.7667347528,100,100.0,4964.892518,0.01,107.16,200.0,0.01,-140.486,0.01,2,0.3,-76.7667347528,-76.7667,3.50449e-18,-76.7667347528
3809.96459927,0.0700674,0.276616,1.03648,52.9307,1.06167,1.83194,200,-72.1293852563,100,187.811742229,3809.96459927,0.00883734,101.29,188.381702204,0.005,-117.541,0.00133441,1,0.3,-72.1293852563,-71.116,1.63056e-06,-72.1293852563
1334.0883606,,1.0,1.0,36.3421,1.0,1.0,200,-66.0435951206,100,100.0,1334.0883606,0.01,95.15,200.0,0.01,-129.763,0.01,2,0.3,-66.0435951206,-66.0436,3.50449e-18,-66.0435951206
2628.70238581,0.00716614,0.848703,1.00433,41.7775,1.00663,1.34701,200,-67.8981372862,100,198.596122825,2628.70238581,0.00670599,96.29,198.682203398,0.005,-111.86,0.00422521,1,0.3,-67.8981372862,-66.6542,1.77611e-07,-67.8981372862
4985.72664491,,1.0,1.0,70.2557,1.0,1.0,200,-75.4139463678,100,100.0,4985.72664491,0.01,105.56,200.0,0.01,-139.133,0.01,2,0.3,-75.4139463678,-75.4139,3.50449e-18,-75.4139463678
7339.02561518,0.142642,0.0190975,0.980497,61.6699,1.14047,1.75399,200,-81.4535736689,100,174.272015921,7339.02561518,0.0089444,111.56,175.36638371,0.005,-120.653,9.73869e-05,1,0.3,-81.4535736689,-72.5363,3.70932e-06,-81.4535736689
6172.96107226,,1.0,1.0,78.1744,1.0,1.0,200,-79.4501165096,100,100.0,6172.96107226,0.01,110.04,200.0,0.01,-143.17,0.01,2,0.3,-79.4501165096,-79.4501,3.50449e-18,-79.4501165096
2617.7213195,0.0178831,0.44706,1.00946,62.4063,1.01684,1.58813,200,-69.1650104764,100,196.567598787,2617.7213195,0.00786622,98.31,196.688657716,0.005,-119.031,0.00221434,1,0.3,-69.1650104764,-73.5963,4.38734e-07,-69.1650104764
6146.58085536,,1.0,1.0,78.0071,1.0,1.0,200,-79.7851756279,100,100.0,6146.58085536,0.01,110.69,200.0,0.01,-143.505,0.01,2,0.3,-79.7851756279,-79.7852,3.50449e-18,-79.7851756279
