ESSRenyi,IterType,MaxNormIw,EpsThisIter,MinNormIw,VarJ,VanillaAvgRet,J,VarVanillaIw,eRenyi2,VarRet,AvgDiscRet,AvgRet,Delta,MinVanillaIw,AvgEpLen,BatchSize,MaxVanillaIw,AvgNormIw,AvgVanillaIw,VarNormIw,VarDiscRet,Bound,ESSClassic
500.0,2,0.005,100,0.005,409.037,1498.76582948,1565.34,,1.0,137548.518006,1498.76582948,1498.76582948,0.6,1.0,163.64,500,1.0,0.005,1.0,2.1793e-19,137548.518006,1383.16,200.000000102
500.0,2,0.00333333,100,0.00333333,402.345,1644.27658156,1591.65,,1.0,148350.201178,1644.27658156,1644.27658156,0.6,1.0,179.05,500,1.0,0.00333333,1.0,5.43914e-20,148350.201178,1442.9,299.999969474
500.0,2,0.0025,100,0.0025,403.637,1626.57156487,1600.38,,1.0,166801.150944,1626.57156487,1626.57156487,0.6,1.0,177.26,500,1.0,0.0025,1.0,5.4346e-20,166801.150944,1471.56,400.0
108.943436429,1,0.120361,100,1.08833e-08,2287.57,1731.02863265,1900.23,14.3296,4.58954,251850.273498,1731.02863265,1731.02863265,0.6,6.05849e-06,188.74,500,67.0024,0.002,1.11335,4.62409e-05,251850.273498,1653.39,39.8816274062
500.0,2,0.01,100,0.01,421.726,1687.80636575,1687.81,,1.0,179649.746941,1687.80636575,1687.80636575,0.6,1.0,183.6,500,1.0,0.01,1.0,3.50449e-18,179649.746941,1438.96,100.0
500.0,2,0.005,100,0.005,442.428,1644.71423757,1666.26,,1.0,214851.07073,1644.71423757,1644.71423757,0.6,1.0,179.29,500,1.0,0.005,1.0,2.1793e-19,214851.07073,1490.3,200.000000102
500.0,2,0.00333333,100,0.00333333,469.139,1687.31594146,1673.28,,1.0,271207.791286,1687.31594146,1687.31594146,0.6,1.0,183.99,500,1.0,0.00333333,1.0,5.43914e-20,271207.791286,1516.6,299.999969474
500.0,2,0.0025,100,0.0025,466.338,1715.1480402,1683.75,,1.0,210398.623332,1715.1480402,1715.1480402,0.6,1.0,186.86,500,1.0,0.0025,1.0,5.4346e-20,210398.623332,1548.06,400.0
100.711847167,1,0.779035,100,1.17517e-05,1641.37,1633.67452338,2140.19,5834.36,4.96466,203134.220253,1633.67452338,1633.67452338,0.6,0.025771,178.04,500,1708.4,0.002,4.38593,0.0012132,203134.220253,1869.77,1.6464060843
500.0,2,0.01,100,0.01,432.128,1677.5818743,1677.58,,1.0,188620.721254,1677.5818743,1677.5818743,0.6,1.0,182.5,500,1.0,0.01,1.0,3.50449e-18,188620.721254,1432.92,100.0
500.0,2,0.005,100,0.005,450.356,1634.2725914,1655.93,,1.0,220169.677784,1634.2725914,1634.2725914,0.6,1.0,178.09,500,1.0,0.005,1.0,2.1793e-19,220169.677784,1463.27,200.000000102
500.0,2,0.00333333,100,0.00333333,438.173,1627.30358556,1646.39,,1.0,171514.229293,1627.30358556,1627.30358556,0.6,1.0,177.63,500,1.0,0.00333333,1.0,5.43914e-20,171514.229293,1489.08,299.999969474
500.0,2,0.0025,100,0.0025,433.003,1604.4477715,1635.9,,1.0,174406.759479,1604.4477715,1604.4477715,0.6,1.0,174.8,500,1.0,0.0025,1.0,5.4346e-20,174406.759479,1499.67,400.0
41.5618546191,1,0.753052,100,5.65384e-06,4544.22,1657.87149245,2506.28,4918.48,12.0303,209331.377891,1657.87149245,1657.87149245,0.6,0.0117777,180.83,500,1568.71,0.002,4.16628,0.00113343,209331.377891,2083.65,1.76186708171
500.0,2,0.01,100,0.01,446.661,1696.70346156,1696.7,,1.0,201520.845206,1696.70346156,1696.70346156,0.6,1.0,185.01,500,1.0,0.01,1.0,3.50449e-18,201520.845206,1458.63,100.0
500.0,2,0.005,100,0.005,451.353,1706.83720579,1701.77,,1.0,209982.082633,1706.83720579,1706.83720579,0.6,1.0,186.0,500,1.0,0.005,1.0,2.1793e-19,209982.082633,1524.48,200.000000102
500.0,2,0.00333333,100,0.00333333,435.743,1602.57092541,1668.7,,1.0,157188.710705,1602.57092541,1602.57092541,0.6,1.0,175.13,500,1.0,0.00333333,1.0,5.43914e-20,157188.710705,1523.95,299.999969474
500.0,2,0.0025,100,0.0025,432.422,1614.26145547,1655.09,,1.0,177895.504938,1614.26145547,1614.26145547,0.6,1.0,176.17,500,1.0,0.0025,1.0,5.4346e-20,177895.504938,1506.66,400.0
