MinVanillaIw,ESSRenyi,VarJ,J,MinNormIw,AvgNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,eRenyi2,EpsThisIter,BatchSize,AvgVanillaIw,IterType,AvgRet,VarDiscRet,VarRet,VarNormIw,Delta,VarVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,Bound
1.0,200.0,47.3873,-462.969,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-462.968814844,2268.23495782,2268.23495782,3.50449e-18,0.2,,500.0,-462.968814844,-462.968814844,-580.3
0.390787,192.308118182,46.8479,-461.505,0.00192998,0.005,1.57508,192.114003768,0.00777884,1.04,100,200,1.01241,1,-466.859226322,2335.76998619,2335.76998619,1.03137e-06,0.2,0.0422854,500.0,-466.859226322,-466.859226322,-550.774
1.0,200.0,38.3731,-456.129,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-456.129373775,1487.36461039,1487.36461039,3.50449e-18,0.2,,500.0,-456.129373775,-456.129373775,-564.313
0.481545,188.779909224,52.2434,-457.127,0.0023627,0.005,4.28706,179.787568903,0.0210345,1.05943,100,200,1.01905,1,-465.910091894,1654.82931086,1654.82931086,2.82472e-06,0.2,0.117336,500.0,-465.910091894,-465.910091894,-543.422
1.0,200.0,41.3436,-460.263,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-460.263477718,1726.5608234,1726.5608234,3.50449e-18,0.2,,500.0,-460.263477718,-460.263477718,-581.36
0.563023,196.520932015,39.8582,-457.471,0.00284951,0.005,1.53642,195.384082329,0.00777598,1.0177,100,200,0.987929,1,-457.745216838,1500.24467953,1500.24467953,5.93585e-07,0.2,0.0231736,500.0,-457.745216838,-457.745216838,-543.854
1.0,200.0,38.9885,-452.414,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-452.413906792,1535.4576606,1535.4576606,3.50449e-18,0.2,,500.0,-452.413906792,-452.413906792,-572.067
0.46569,190.894982941,40.7823,-452.888,0.00224407,0.005,2.11002,188.241666799,0.0101678,1.0477,100,200,1.0376,1,-461.41107147,1471.63197845,1471.63197845,1.56946e-06,0.2,0.067588,500.0,-461.41107147,-461.41107147,-539.49
1.0,200.0,41.3109,-453.823,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-453.822589299,1723.83014524,1723.83014524,3.50449e-18,0.2,,500.0,-453.822589299,-453.822589299,-567.87
0.460454,195.112175555,38.4462,-451.264,0.00234462,0.005,1.52577,194.343990639,0.00776919,1.02505,100,200,0.981937,1,-452.739559814,1244.15918803,1244.15918803,7.31239e-07,0.2,0.0282024,500.0,-452.739559814,-452.739559814,-532.912
