MinVanillaIw,IterType,AvgDiscRet,AvgNormIw,VarVanillaIw,MaxVanillaIw,AvgEpLen,MinNormIw,SamplesThisIter,BatchSize,J,MaxNormIw,AvgRet,ESSRenyi,VarNormIw,EpsThisIter,VanillaAvgRet,delta,VarJ,AvgVanillaIw,Bound,ESSClassic,VarRet,renyi2,VarDiscRet
,1,968.640900761,1.08719e-05,3.81378e+32,1.48077e+18,97.8473581213,,50000,100,475433.0,0.0617072,968.640900761,nan,6.62293e-07,511,968.640900761,0.8,13969.3,2.60891e+14,3744.41,15.9990911877,861661.143443,nan,861661.143443
,1,1132.10567627,1.26839e-05,inf,2.23753e+21,114.155251142,,50000,100,553694.0,0.0625,1132.10567627,nan,7.92594e-07,438,1132.10567627,0.8,21596.4,4.54091e+17,4374.24,16.0000060383,954394.6683,nan,954394.6683
,1,1349.40300666,1.50966e-05,1.42957e+15,2.18132e+09,135.869565217,,50000,100,578580.0,0.0222252,1349.40300666,nan,1.48408e-07,368,1349.40300666,0.8,21081.1,1.48168e+06,4433.71,12.847962314,1361559.10468,nan,1361559.10468
,1,1751.19294469,1.95618e-05,7.38058e+10,1.53399e+07,176.056338028,,50000,100,636334.0,0.0544152,1751.19294469,nan,9.28722e-07,284,1751.19294469,0.8,22212.5,5514.57,4490.11,15.99933092,2260363.9752,nan,2260363.9752
,1,1134.48517737,1.27129e-05,inf,2.66513e+22,114.416475973,,50000,100,nan,0.191427,1134.48517737,nan,2.33378e-06,437,1134.48517737,0.8,nan,1.76995e+18,nan,4.99006264664,405029.972778,nan,405029.972778
,1,1164.29833242,1.30412e-05,3.11572e+26,1.22205e+15,117.370892019,,50000,100,554936.0,0.0610449,1164.29833242,nan,7.77466e-07,426,1164.29833242,0.8,20993.5,2.6107e+11,4374.39,15.9987418588,828748.722742,nan,828748.722742
,1,1134.34922149,1.27129e-05,inf,2.28034e+24,114.416475973,,50000,100,nan,0.062497,1134.34922149,nan,7.9433e-07,437,1134.34922149,0.8,nan,4.63859e+20,nan,16.0000040447,412615.390453,nan,412615.390453
,1,1473.96949604,1.64853e-05,inf,6.47595e+23,148.367952522,,50000,100,504084.0,0.0624999,1473.96949604,nan,1.03007e-06,337,1473.96949604,0.8,15046.5,1.70813e+20,3651.88,16.0000035606,831594.599762,nan,831594.599762
,1,1573.31048932,1.75809e-05,inf,3.20552e+20,158.227848101,,50000,100,609381.0,0.0590052,1573.31048932,nan,9.81482e-07,316,1573.31048932,0.8,20079.1,9.55099e+16,4453.8,15.9606147825,1899331.68395,nan,1899331.68395
,1,1524.57112579,1.70416e-05,inf,5.04288e+22,153.374233129,,50000,100,593680.0,0.0307487,1524.57112579,nan,4.16142e-07,326,1524.57112579,0.8,20218.5,2.79487e+19,4374.36,9.90524157312,1538791.2639,nan,1538791.2639
,1,1629.69985168,1.82149e-05,1.29103e+24,6.65661e+13,163.93442623,,50000,100,599731.0,0.0624743,1629.69985168,nan,1.13719e-06,305,1629.69985168,0.8,19476.3,1.94079e+10,4326.94,16.0000020163,1587064.93714,nan,1587064.93714
,1,2066.49165052,2.30521e-05,1.41277e+16,6.19006e+09,207.468879668,,50000,100,679406.0,0.0624883,2066.49165052,nan,1.43972e-06,241,2066.49165052,0.8,16821.1,2.28353e+06,4557.24,16.0,1941443.9049,nan,1941443.9049
,1,1427.09421906,1.59642e-05,inf,2.93216e+20,143.67816092,,50000,100,nan,0.0472297,1427.09421906,nan,6.03361e-07,348,1427.09421906,0.8,nan,9.91108e+16,nan,15.1030475933,569979.966084,nan,569979.966084
,1,1821.94261294,2.035e-05,inf,5.49073e+24,183.15018315,,50000,100,618390.0,0.0624999,1821.94261294,nan,1.27148e-06,273,1821.94261294,0.8,15683.1,1.78779e+21,4304.41,16.0,1328204.41717,nan,1328204.41717
,1,1491.96817052,1.66833e-05,1.13785e+30,1.14936e+17,150.15015015,,50000,100,575043.0,0.14903,1491.96817052,nan,1.91302e-06,333,1491.96817052,0.8,19413.1,1.28667e+13,4234.72,4.99999708552,1256136.72665,nan,1256136.72665
,1,1402.87595255,1.56937e-05,5.55276e+28,2.46824e+16,141.242937853,,50000,100,566024.0,0.116874,1402.87595255,nan,1.245e-06,354,1402.87595255,0.8,18127.6,3.31431e+12,4020.04,4.37232499756,808834.495478,nan,808834.495478
