#{"t_start": 1518538551.8952036, "env_id": "LQG1D-v0"}
r,l,t
-56.544955,10,6.092501
-23.59415,10,6.096027
-47.641035,10,6.099304
-25.867272,10,6.102189
-22.827994,10,6.105283
-40.107459,10,6.109467
-29.9227,10,6.112694
-50.440126,10,6.116275
-47.308913,10,6.11993
-20.572853,10,6.123614
-28.91849,10,6.12891
-34.841053,10,6.133327
-13.937381,10,6.136445
-17.528925,10,6.139601
-41.516717,10,6.142353
-18.759,10,6.145023
-54.472698,10,6.147848
-50.420384,10,6.151054
-29.71186,10,6.154148
-4.690308,10,6.157695
-24.079921,10,6.161506
-42.400371,10,6.164586
-15.810823,10,6.167687
-64.235687,10,6.170873
-73.216649,10,6.173995
-8.806553,10,6.177172
-39.475803,10,6.180378
-54.344116,10,6.1834
-23.714015,10,6.186377
-28.369523,10,6.189502
-36.617814,10,6.192543
-13.566477,10,6.195546
-18.979447,10,6.198783
-34.130738,10,6.201734
-14.668569,10,6.20458
-36.90196,10,6.207467
-15.353079,10,6.210494
-72.813304,10,6.213401
-35.857893,10,6.21642
-24.925266,10,6.219546
-27.219165,10,6.222257
-22.228415,10,6.225085
-8.388646,10,6.228164
-21.972704,10,6.231107
-29.459677,10,6.233989
-20.81135,10,6.236862
-46.711669,10,6.240418
-10.088772,10,6.243518
-34.284806,10,6.246379
-21.314225,10,6.249277
-21.032239,10,6.252141
-77.017091,10,6.254986
-44.043336,10,6.258017
-20.162171,10,6.260877
-64.287424,10,6.263846
-32.14763,10,6.267024
-32.072014,10,6.270318
-17.064105,10,6.273514
-80.753497,10,6.276552
-37.176342,10,6.279444
-15.666097,10,6.282704
-120.910011,10,6.285637
-85.674902,10,6.288699
-14.104991,10,6.291754
-81.394883,10,6.294813
-57.780929,10,6.297864
-7.24212,10,6.300908
-37.542857,10,6.30397
-10.397354,10,6.307007
-23.007694,10,6.31007
-54.117731,10,6.31313
-24.034356,10,6.316161
-35.90622,10,6.319152
-24.996717,10,6.322175
-21.562334,10,6.325252
-49.925842,10,6.328271
-42.648223,10,6.33117
-29.872044,10,6.334126
-50.068952,10,6.337266
-25.056308,10,6.340639
-56.186324,10,6.343747
-15.28074,10,6.346794
-4.010744,10,6.349866
-29.544235,10,6.352906
-49.496271,10,6.356027
-19.792649,10,6.359151
-106.436638,10,6.362174
-75.168272,10,6.365212
-26.020944,10,6.36816
-14.414445,10,6.37133
-58.352562,10,6.374057
-101.412421,10,6.377136
-41.666927,10,6.380209
-31.057338,10,6.38327
-43.259696,10,6.386312
-31.268437,10,6.389366
-14.955459,10,6.392415
-24.349714,10,6.395461
-48.354465,10,6.39884
-37.898957,10,6.401934
-21.932705,10,6.405002
-27.424832,10,6.408396
-25.14304,10,6.411809
-12.608099,10,6.414711
-12.547525,10,6.417664
-91.070665,10,6.420625
-18.940152,10,6.423578
-41.456148,10,6.4265
-37.68248,10,6.429446
-64.731215,10,6.432454
-53.957429,10,6.435529
-23.229238,10,6.439021
-7.965833,10,6.442297
-35.821964,10,6.445474
-18.744273,10,6.448648
-9.384201,10,6.451639
-58.322864,10,6.454574
-28.63253,10,6.457624
-13.665923,10,6.460573
-26.303772,10,6.463633
-51.149483,10,6.466558
-30.414863,10,6.469611
-16.25012,10,6.472624
-37.75084,10,6.475691
-68.565184,10,6.478678
-20.660894,10,6.481659
-49.318546,10,6.484599
-13.133877,10,6.487631
-20.711738,10,6.490519
-18.755452,10,6.493477
-48.226652,10,6.496423
-29.480584,10,6.499399
-58.938763,10,6.502435
-29.305207,10,6.505373
-29.266146,10,6.508301
-50.263085,10,6.511231
-20.738566,10,6.514303
-30.156406,10,6.517258
-10.39826,10,6.520223
-51.687905,10,6.523194
