MaxD2w0t,MeanD2w0t,EmpiricalD2,ReturnMeanIW,InitialReturnMin,StdD2w0t,Weights,MeanIW,TimeElapsed,MinD2w0t,EpisodesSoFar,MinIW,ReturnStepMaxmin,EpRewMean,MaxIW,InitialReturnStd,EpLenMean,StdIW,Bound,InitialBound,J_sample_variance,InitialReturnMax,TimestepsSoFar,InitialReturnMean,Iteration,ReturnStepMax,MeanEntropy,EpThisIter
1.000417,0.09351201,1.0002265,-81.35059,-97.29256,0.2911778,[-0.369 -0.678 -0.481 -0.257 -0.001],0.99622095,726.7264657020569,,6000,0.9685162,99.087456,-121.52276230982439,1.0412369,8.416964,46.75,0.012448357,-1857.3893,-1857.5468,70.961,-51.104206,275236,-81.6459,60,100.0,1.4190581,100
1.0002798,0.088786356,1.0001647,-82.5527,-97.278,0.28444096,[-3.701e-01 -6.776e-01 -4.811e-01 -2.571e-01  2.472e-04],0.9983414,737.3054397106171,,6100,0.95958495,99.20028,-120.9020027614294,1.0305609,8.105379,44.39,0.011570598,-1795.4863,-1795.5607,64.96071,-60.276928,279675,-82.697136,61,100.0,1.4185802,100
1.0008783,0.092875764,1.0006012,-80.7607,-97.97905,0.29029122,[-3.709e-01 -6.782e-01 -4.813e-01 -2.572e-01 -3.440e-04],0.99549717,750.1720073223114,,6200,0.9400138,99.21623,-120.57664080831553,1.0767826,8.977144,46.43,0.024635175,-1787.7032,-1787.8905,75.7913,-60.543243,284318,-81.12476,62,100.0,1.4184958,100
1.0004736,0.095126934,1.0002165,-81.56634,-98.0028,0.29341134,[-3.726e-01 -6.784e-01 -4.813e-01 -2.568e-01 -4.553e-04],0.9970831,762.3764026165009,,6300,0.9532163,99.206696,-122.38714645513126,1.0451999,8.503312,47.56,0.015640697,-1817.516,-1817.643,71.79732,-61.26824,289074,-81.78101,63,100.0,1.4183085,100
1.0003402,0.09086757,1.0001615,-81.561165,-97.03539,0.28744304,[-0.374 -0.678 -0.482 -0.257 -0.001],0.9973811,774.4367237091064,,6400,0.9671352,99.10539,-120.39359931956747,1.029231,8.079916,45.43,0.012226432,-1870.7708,-1870.8846,66.53532,-58.534508,293617,-81.76456,64,100.0,1.4188381,100
1.000151,0.095084496,1.000096,-80.90473,-98.68262,0.29333574,[-3.740e-01 -6.788e-01 -4.817e-01 -2.564e-01 -1.947e-04],0.9989413,786.9007997512817,,6500,0.9590107,99.028824,-121.35956779057946,1.0275807,9.14856,47.54,0.0101432735,-1832.702,-1832.7585,80.03449,-56.335327,298371,-81.008156,65,100.0,1.4179953,100
1.0003055,0.092186525,1.0001464,-81.5679,-98.904045,0.2892896,[-0.375 -0.679 -0.482 -0.256 -0.001],0.99776405,798.6750020980835,,6600,0.9641041,99.14872,-121.1141390514611,1.0256735,8.071711,46.09,0.01126275,-1828.2242,-1828.3068,66.25263,-56.177395,302980,-81.72987,66,100.0,1.4176023,100
1.0004907,0.0908716,1.0002958,-80.596054,-96.53268,0.28745466,[-0.375 -0.679 -0.482 -0.257 -0.001],0.9967089,811.5787024497986,,6700,0.95908594,99.0803,-119.39887458876962,1.0405672,8.290808,45.43,0.016173543,-1811.0381,-1811.1848,65.6278,-53.355846,307523,-80.87102,67,100.0,1.4179621,100
1.0008465,0.0961666,1.0005347,-81.10479,-98.83181,0.2948655,[-0.376 -0.679 -0.482 -0.257 -0.001],0.9909286,823.9186964035034,,6800,0.9270693,99.2115,-122.72826232341032,1.0513961,9.097698,48.07,0.023002136,-1866.2074,-1866.5454,92.47773,-57.660233,312330,-81.73212,68,100.0,1.415903,100
1.0001833,0.095624104,1.0000727,-79.24565,-96.17711,0.29409125,[-0.376 -0.679 -0.482 -0.257 -0.003],0.99827,836.3258762359619,,6900,0.96613157,99.07095,-119.36902067081557,1.0162601,8.485916,47.81,0.008740512,-1820.5719,-1820.6484,73.13959,-56.352856,317111,-79.36655,69,100.0,1.4154897,100
