EmpiricalD2,MeanEntropy,EpRewMean,MeanIW,InitialReturnMin,EntropyCoefficient,InitialReturnMax,MeanD2w0t,StdIW,MaxD2w0t,Iteration,EpThisIter,Bound,TimeElapsed,EpLenMean,InitialBound,MinD2w0t,Weights,StdD2w0t,InitialReturnStd,ReturnStepMaxmin,ReturnStepMax,J_sample_variance,ReturnMeanIW,EpisodesSoFar,TimestepsSoFar,MaxIW,MinIW,InitialReturnMean
1.0202541,1.4170152,-118.48015226832757,1.0377351,-16.524467,10.0,32.184803,0.0992516,0.13402171,1.0592247,62,100,-135.1654,753.5184133052826,49.1,-137.6731,,[-0.457 -0.587 -0.454 -0.235 -0.002],0.30078945,9.994208,94.23392,100.0,471.64786,166.46184,6200,297610,1.4458573,0.6283769,7.3242186e-06
1.015592,1.4214314,-120.17265559089627,1.0312564,-13.706055,10.0,42.23895,0.09544427,0.13590184,1.0347241,63,100,-115.33758,765.8972170352936,47.24,-118.19432,,[-0.457 -0.594 -0.455 -0.242 -0.002],0.29549745,9.264071,93.93654,100.0,419.09717,176.83165,6300,302334,1.579944,0.718526,-1.14440915e-07
1.0147324,1.4214516,-122.35757526478197,1.0283349,-15.516586,10.0,19.1805,0.09853489,0.11310852,1.0441958,64,100,-120.26104,779.2285969257355,48.9,-122.24444,,[-0.467 -0.6   -0.465 -0.237  0.002],0.2992783,8.367619,94.124,100.0,234.09508,171.18314,6400,307224,1.3624008,0.7549335,-2.9373168e-06
1.1200007,1.4456669,-121.11757039023543,1.1610162,-15.971298,10.0,28.332783,0.10448,0.46305802,1.2268275,65,100,-120.45155,791.1015079021454,49.48,-130.71161,,[-0.464 -0.605 -0.47  -0.237  0.003],0.31552458,10.13525,94.191055,100.0,3567.1292,184.30113,6500,312172,3.5307746,0.51434225,4.959106e-07
1.0250663,1.4492408,-120.27416236088975,1.0359539,-15.021675,10.0,28.473114,0.10034253,0.17362668,1.0647869,66,100,-122.71047,804.768084526062,49.45,-125.24873,,[-0.472 -0.61  -0.468 -0.234  0.027],0.3029104,8.455459,94.14791,100.0,708.07404,167.69894,6600,317117,1.7650716,0.69540197,-9.155273e-07
1.0116807,1.4391131,-119.68456586144397,1.0204421,-18.212074,10.0,27.92601,0.10090029,0.11400238,1.021905,67,100,-135.09955,816.9574511051178,50.12,-136.45552,,[-0.477 -0.609 -0.466 -0.24   0.03 ],0.30230993,10.141048,94.25849,100.0,312.144,161.38988,6700,322129,1.2697718,0.672267,1.7547608e-06
1.01329,1.43856,-121.32615161981727,1.0217166,-18.5085,10.0,21.775215,0.10300285,0.109869026,1.0265973,68,100,-134.69131,830.3560235500336,51.1,-136.44943,,[-0.472 -0.605 -0.462 -0.241  0.02 ],0.30530435,9.79688,94.4316,100.0,356.3268,160.01979,6800,327239,1.3519256,0.78471255,-1.0681152e-06
1.0212506,1.4344653,-120.72689546592127,1.0214564,-19.524231,10.0,28.561558,0.103861034,0.1520659,1.0341532,69,100,-137.99335,842.5666062831879,51.51,-139.41853,,[-0.466 -0.606 -0.457 -0.238  0.02 ],0.30646807,10.721132,94.38487,100.0,560.03674,157.40446,6900,332390,1.426714,0.66849977,2.670288e-07
1.0134321,1.4296019,-121.10821194120089,1.0176334,-20.690033,10.0,44.6556,0.104607634,0.107736796,1.0227686,70,100,-133.96658,855.1402864456177,51.93,-135.1808,,[-0.474 -0.612 -0.459 -0.237  0.015],0.30728406,10.909295,94.33581,100.0,395.34497,155.70566,7000,337583,1.3550705,0.6821151,1.1062622e-06
1.0252035,1.4282905,-121.00534791556812,1.0428033,-20.241013,10.0,27.391193,0.10638604,0.17335059,1.051823,71,100,-139.88815,868.4792702198029,52.49,-142.41379,,[-0.479 -0.618 -0.459 -0.239  0.011],0.31064966,9.816491,94.53727,100.0,490.2297,155.86356,7100,342832,1.6358287,0.6808648,4.043579e-06
1.0077151,1.4243557,-120.92947920631025,1.0177242,-18.973618,10.0,33.12957,0.10624204,0.08725878,1.0233679,72,100,-148.83772,881.4311425685883,52.92,-149.72638,,[-0.475 -0.602 -0.455 -0.238  0.009],0.30880752,9.811839,94.51849,100.0,223.81425,151.11244,7200,348124,1.2347947,0.67009753,2.2888183e-07
1.0189917,1.4203459,-121.24782855009906,1.0324706,-20.621483,10.0,23.008156,0.10826951,0.1175336,1.0332963,73,100,-135.81229,895.1951904296875,53.51,-138.34978,,[-0.472 -0.608 -0.455 -0.241  0.005],0.3127541,10.236411,94.576164,100.0,382.9357,152.05746,7300,353475,1.33043,0.73129284,-2.0599366e-06
