SamplesThisIter,Bound,MinVanillaIw,MaxVanillaIw,renyi2,J,AvgVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgNormIw,MinNormIw,VarVanillaIw,VarNormIw,EpsThisIter,IterType,VarRet,VarDiscRet,MaxNormIw,ESSClassic,AvgRet,VarJ,BatchSize,delta
50000,2718.12,,988157.0,nan,513928.0,109.526,136.98630137,1268.18595621,1268.18595621,nan,1.52207e-05,,5.67847e+07,1.09665e-06,365,1,488692.72471,488692.72471,0.137323,3.73384174826,1268.18595621,52851.4,100,0.6
50000,2382.38,,23656.2,nan,463531.0,6.36665,131.233595801,1215.0866962,1215.0866962,nan,1.45815e-05,,34848.3,1.82795e-07,381,1,464237.650871,464237.650871,0.0541797,1.71830872115,1215.0866962,59828.5,100,0.6
50000,2679.38,,45598.5,nan,523295.0,18.2533,133.689839572,1237.96768902,1237.96768902,nan,1.48544e-05,,208851.0,1.38313e-07,374,1,533892.953862,533892.953862,0.0371078,0.713691068884,1237.96768902,43548.1,100,0.6
50000,2256.07,,493085.0,nan,437986.0,33.7864,125.313283208,1160.47239609,1160.47239609,nan,1.39237e-05,,7.37354e+06,1.25228e-06,399,1,364588.644635,364588.644635,0.203205,2.00176693831,1160.47239609,42735.4,100,0.6
50000,2757.67,,3.44271e+07,nan,560946.0,1609.76,138.121546961,1279.85455429,1279.85455429,nan,1.53468e-05,,3.89275e+10,3.53811e-06,362,1,535520.896632,535520.896632,0.328214,1.86932452971,1279.85455429,52109.4,100,0.6
50000,2540.46,,1.57313e+08,nan,546593.0,5739.05,139.275766017,1289.44626024,1289.44626024,nan,1.54751e-05,,7.72687e+11,5.61809e-06,359,1,472804.035029,472804.035029,0.424187,1.98248392784,1289.44626024,58245.9,100,0.6
50000,2855.9,,1.17143e+08,nan,565920.0,4770.06,143.67816092,1330.68034306,1330.68034306,nan,1.59642e-05,,4.43617e+11,4.96886e-06,348,1,539870.504318,539870.504318,0.39205,1.97524447984,1330.68034306,53039.9,100,0.6
50000,1890.64,4.00233e-36,9570.81,nan,375133.0,3.09912,130.548302872,1207.63079308,1207.63079308,nan,1.45054e-05,1.87326e-41,3932.63,8.61516e-08,383,1,269612.679738,269612.679738,0.0447959,1.73146485438,1207.63079308,44956.3,100,0.6
50000,2546.57,,14097.3,nan,479117.0,10.0215,134.048257373,1240.50593104,1240.50593104,nan,1.48943e-05,,43659.0,9.64365e-08,373,1,431592.97671,431592.97671,0.0209518,2.66381580369,1240.50593104,56563.4,100,0.6
50000,3261.89,,380016.0,nan,575903.0,100.034,140.449438202,1300.89793595,1300.89793595,nan,1.56055e-05,,1.422e+07,3.46063e-07,356,1,724650.650653,724650.650653,0.059283,1.08451924706,1300.89793595,43712.1,100,0.6
50000,2994.23,,1.52536e+07,nan,572325.0,738.49,151.975683891,1408.15642282,1408.15642282,nan,1.68862e-05,,8.34445e+09,4.36287e-06,329,1,667578.992987,667578.992987,0.348787,1.88350386937,1408.15642282,45981.7,100,0.6
50000,2977.32,,1.75273e+07,nan,553459.0,896.785,137.362637363,1272.70543599,1272.70543599,nan,1.52625e-05,,9.89139e+09,2.86505e-06,364,1,570891.977534,570891.977534,0.298299,1.92591044507,1272.70543599,46129.1,100,0.6
50000,2347.46,,1.80088e+06,nan,492028.0,123.674,139.275766017,1288.81513844,1288.81513844,nan,1.54751e-05,,1.16539e+08,1.82467e-06,359,1,450624.801836,450624.801836,0.225341,1.80354311026,1288.81513844,45932.3,100,0.6
50000,2516.44,,29288.5,nan,474892.0,17.016,138.121546961,1279.1213474,1279.1213474,nan,1.53468e-05,,172940.0,1.40676e-07,362,1,500327.987186,500327.987186,0.0264155,2.00168031312,1279.1213474,49405.3,100,0.6
50000,2666.38,,13286.1,nan,478156.0,4.98759,145.772594752,1350.45388621,1350.45388621,nan,1.6197e-05,,9083.87,9.5798e-08,343,1,570319.874895,570319.874895,0.0431461,2.83555348182,1350.45388621,46620.8,100,0.6
50000,2913.25,,3.45203e+06,nan,577186.0,507.883,148.80952381,1377.56964303,1377.56964303,nan,1.65344e-05,,1.01982e+09,1.08087e-06,336,1,581923.319113,581923.319113,0.112383,2.14004623137,1377.56964303,50650.2,100,0.6
50000,2419.63,1.87716e-29,994.869,nan,444726.0,2.76622,155.279503106,1437.38876927,1437.38876927,nan,1.72533e-05,1.17081e-34,442.867,1.72283e-08,322,1,494090.609267,494090.609267,0.00620513,1.14894169831,1437.38876927,56146.7,100,0.6
50000,2726.3,2.00412e-32,1481.76,nan,481558.0,3.90171,155.763239875,1443.09196426,1443.09196426,nan,1.7307e-05,8.88979e-38,990.282,1.94847e-08,321,1,677896.748936,677896.748936,0.00657274,1.78247972621,1443.09196426,43542.3,100,0.6
50000,3194.32,,138407.0,nan,610402.0,28.1137,174.825174825,1619.76103303,1619.76103303,nan,1.9425e-05,,1.36063e+06,6.49571e-07,286,1,888777.534501,888777.534501,0.0956313,2.21406115111,1619.76103303,41521.8,100,0.6
