renyi2,VarNormIw,VarRet,ESSRenyi,AvgRet,AvgDiscRet,VarDiscRet,MaxVanillaIw,AvgNormIw,J,IterType,delta,VarJ,VarVanillaIw,Bound,AvgEpLen,SamplesThisIter,ESSClassic,AvgVanillaIw,MinNormIw,MaxNormIw,BatchSize,MinVanillaIw,EpsThisIter,VanillaAvgRet
nan,1.70283e-07,1191633.02298,nan,1876.52996651,1876.52996651,1191633.02298,29015.6,2.25836e-05,681719.0,1,0.7,32173.7,64328.1,3792.78,203.25203252,50000,1.64310180545,13.8805,,0.0472082,100,,246,1876.52996651
nan,3.26285e-08,1079846.37117,nan,2004.95128347,2004.95128347,1079846.37117,1743.76,2.41546e-05,664591.0,1,0.7,29298.6,3289.13,3632.16,217.391304348,50000,1.7501797979,7.66905,,0.00549218,100,,230,2004.95128347
nan,1.26163e-05,1023051.68313,nan,2094.56007961,2094.56007961,1023051.68313,5.19919e+08,2.52525e-05,686949.0,1,0.7,29535.1,1.3652e+13,3771.82,227.272727273,50000,2.00000013429,26268.6,,0.499809,100,,220,2094.56007961
nan,6.64086e-07,844665.303928,nan,1710.02587711,1710.02587711,844665.303928,78450.1,2.05761e-05,603064.0,1,0.7,35263.3,401575.0,3292.24,185.185185185,50000,1.68898331343,16.0006,,0.100884,100,,270,1710.02587711
nan,4.9495e-06,1131947.83397,nan,2006.28738652,2006.28738652,1131947.83397,356222.0,2.41546e-05,670285.0,1,0.7,28613.7,6.14487e+06,3739.55,217.391304348,50000,1.99785378259,26.9138,,0.319702,100,,230,2006.28738652
nan,9.3778e-08,1126435.54236,nan,1987.60793592,1987.60793592,1126435.54236,8740.03,2.39464e-05,688256.0,1,0.7,31299.6,29512.1,3798.59,215.517241379,50000,4.81616915589,13.4335,,0.0155799,100,,232,1987.60793592
nan,2.19046e-08,1313985.24791,nan,2301.26619926,2301.26619926,1313985.24791,775.627,2.77778e-05,690869.0,1,0.7,24590.9,725.795,3855.63,250.0,50000,1.84980706374,5.05635,,0.00426102,100,,200,2301.26619926
nan,1.31435e-05,1110199.64413,nan,2195.16908615,2195.16908615,1110199.64413,3.01274e+07,2.6455e-05,654582.0,1,0.7,27033.4,4.80232e+10,3707.31,238.095238095,50000,2.00000428521,1599.11,6.86636e-44,0.498417,100,4.18737e-36,210,2195.16908615
nan,3.70732e-07,822999.263433,nan,2019.370439,2019.370439,822999.263433,21122.0,2.43665e-05,624220.0,1,0.7,29014.6,26804.6,3283.36,219.298245614,50000,1.64860395332,6.55189,,0.0785525,100,,228,2019.370439
nan,3.75443e-08,1155369.5467,nan,2152.43186803,2152.43186803,1155369.5467,2808.52,2.59605e-05,683017.0,1,0.7,27548.1,4080.95,3876.93,233.644859813,50000,3.00023827817,8.55899,,0.00851862,100,,214,2152.43186803
