MaxVanillaIw,VarRet,Delta,BatchSize,AvgRet,ESSClassic,MinVanillaIw,AvgVanillaIw,VarJ,AvgNormIw,AvgDiscRet,VarDiscRet,ESSRenyi,MaxNormIw,Bound,eRenyi2,EpsThisIter,MinNormIw,VarNormIw,IterType,VanillaAvgRet,VarVanillaIw,AvgEpLen,J
1.0,2568.19932944,0.2,200,-70.4109151754,100.0,1.0,1.0,50.4234,0.01,-70.4109151754,2568.19932944,200.0,0.01,-153.838,1.0,100,0.01,3.50449e-18,2,-70.4109151754,,101.13,-70.4109
1.50939,2571.57374187,0.2,200,-70.6940234745,197.982720491,0.909867,1.00253,47.3458,0.005,-70.6940234745,2571.57374187,198.233093216,0.00752792,-129.263,1.00891,100,0.00453787,2.56018e-07,1,-70.6940234745,0.0102926,101.12,-70.0082
1.0,2585.88752285,0.2,200,-69.0189189178,100.0,1.0,1.0,50.5967,0.01,-69.0189189178,2585.88752285,200.0,0.01,-152.324,1.0,100,0.01,3.50449e-18,2,-69.0189189178,,98.82,-69.0189
1.29563,2619.57005616,0.2,200,-68.6078701977,197.097662438,0.632143,1.00068,45.0983,0.005,-68.6078701977,2619.57005616,196.662765971,0.00647378,-127.305,1.01697,100,0.00315858,3.69992e-07,1,-68.6078701977,0.0148197,97.36,-67.8244
1.0,2591.6479404,0.2,200,-70.0844604108,100.0,1.0,1.0,50.6531,0.01,-70.0844604108,2591.6479404,200.0,0.01,-153.505,1.0,100,0.01,3.50449e-18,2,-70.0844604108,,100.51,-70.0845
1.31088,5004.50095384,0.2,200,-74.9051587267,195.83647037,0.454762,0.992037,56.3103,0.005,-74.9051587267,5004.50095384,196.148147525,0.00660701,-130.823,1.01964,100,0.00229206,5.34175e-07,1,-74.9051587267,0.021028,104.66,-71.2533
1.0,1387.28953723,0.2,200,-66.955048302,100.0,1.0,1.0,37.0596,0.01,-66.955048302,1387.28953723,200.0,0.01,-150.377,1.0,100,0.01,3.50449e-18,2,-66.955048302,,96.31,-66.955
2.05482,7251.89764467,0.2,200,-83.6736043298,195.360381231,0.654002,1.00222,61.3914,0.005,-83.6736043298,7251.89764467,196.526134582,0.0102513,-133.663,1.01768,100,0.00326276,5.96716e-07,1,-83.6736043298,0.0239748,115.25,-74.1514
1.0,2586.77809006,0.2,200,-69.5762248552,100.0,1.0,1.0,50.6054,0.01,-69.5762248552,2586.77809006,200.0,0.01,-153.004,1.0,100,0.01,3.50449e-18,2,-69.5762248552,,99.63,-69.5762
1.13071,2580.81231863,0.2,200,-69.2602840216,197.875454499,0.565509,0.995142,46.7063,0.005,-69.2602840216,2580.81231863,197.962675602,0.00568116,-128.17,1.01029,100,0.00284135,2.69767e-07,1,-69.2602840216,0.0106861,98.49,-68.8749
1.0,3824.14580812,0.2,200,-72.3055945791,100.0,1.0,1.0,61.5297,0.01,-72.3055945791,3824.14580812,200.0,0.01,-155.734,1.0,100,0.01,3.50449e-18,2,-72.3055945791,,101.68,-72.3056
