VarRet,VarNormIw,VarVanillaIw,AvgVanillaIw,VanillaAvgRet,MaxVanillaIw,MaxNormIw,Delta,VarDiscRet,AvgEpLen,AvgNormIw,EpsThisIter,IterType,VarJ,Bound,MinNormIw,AvgRet,ESSRenyi,BatchSize,MinVanillaIw,ESSClassic,J,eRenyi2,AvgDiscRet
3782.15548024,3.50449e-18,,1.0,-73.3605641834,1.0,0.01,0.3,3782.15548024,103.36,0.01,100,2,61.191,-137.08,0.01,-73.3605641834,200.0,200,1.0,100.0,-73.3606,1.0,-73.3605641834
2569.91749585,1.90989e-07,0.00755037,0.994147,-69.8984954634,1.4583,0.00733444,0.3,2569.91749585,99.98,0.005,100,1,53.324,-116.422,0.00405437,-69.8984954634,197.951744382,200,0.806128,198.491172214,-71.1334,1.01035,-69.8984954634
6160.02632525,3.50449e-18,,1.0,-79.4904560328,1.0,0.01,0.3,6160.02632525,110.31,0.01,100,2,78.0924,-143.21,0.01,-79.4904560328,200.0,200,1.0,100.0,-79.4905,1.0,-79.4904560328
3810.73277854,8.43227e-07,0.0329534,0.988434,-72.0632196715,1.50995,0.0076381,0.3,3810.73277854,101.8,0.005,100,1,65.3758,-120.178,0.0027027,-72.0632196715,194.378336218,200,0.534289,193.505838676,-74.4742,1.02892,-72.0632196715
6074.2046183,3.50449e-18,,1.0,-82.0428022903,1.0,0.01,0.3,6074.2046183,114.05,0.01,100,2,77.5465,-145.762,0.01,-82.0428022903,200.0,200,1.0,100.0,-82.0428,1.0,-82.0428022903
1351.80539352,2.43008e-07,0.00940343,0.983565,-67.7365608582,1.85415,0.00942567,0.3,1351.80539352,97.49,0.005,100,1,58.6916,-119.7,0.0046056,-67.7365608582,197.831790547,200,0.905982,198.084188204,-74.3972,1.01096,-67.7365608582
4986.53821752,3.50449e-18,,1.0,-75.9020461099,1.0,0.01,0.3,4986.53821752,106.04,0.01,100,2,70.2615,-139.62,0.01,-75.9020461099,200.0,200,1.0,100.0,-75.902,1.0,-75.9020461099
7294.47810315,6.90098e-07,0.0267908,0.985161,-83.3200497903,1.39447,0.00707738,0.3,7294.47810315,114.91,0.005,100,1,72.774,-123.684,0.00163015,-83.3200497903,194.114418314,200,0.321191,194.653645081,-77.9493,1.03032,-83.3200497903
6165.61719732,3.50449e-18,,1.0,-79.5013780144,1.0,0.01,0.3,6165.61719732,110.27,0.01,100,2,78.1279,-143.22,0.01,-79.5013780144,200.0,200,1.0,100.0,-79.5014,1.0,-79.5013780144
2591.4336141,5.54755e-07,0.0224526,1.00589,-69.725628722,1.90325,0.0094605,0.3,2591.4336141,99.77,0.005,100,1,62.6072,-119.205,0.00430902,-69.725628722,196.37907263,200,0.866885,195.679485381,-73.7355,1.01844,-69.725628722
7266.39905332,3.50449e-18,,1.0,-83.3897346565,1.0,0.01,0.3,7266.39905332,115.24,0.01,100,2,84.8159,-147.108,0.01,-83.3897346565,200.0,200,1.0,100.0,-83.3897,1.0,-83.3897346565
7291.5830969,3.07808e-06,0.116093,0.971031,-83.3058004896,1.47249,0.00758212,0.3,7291.5830969,114.52,0.005,100,1,73.167,-124.647,0.000262272,-83.3058004896,182.422214406,200,0.0509349,178.172541254,-77.4695,1.09636,-83.3058004896
5000.05227089,3.50449e-18,,1.0,-76.8045167629,1.0,0.01,0.3,5000.05227089,107.23,0.01,100,2,70.3566,-140.524,0.01,-76.8045167629,200.0,200,1.0,100.0,-76.8045,1.0,-76.8045167629
4964.9476343,1.9433e-06,0.0806926,1.01887,-78.3938856831,1.46742,0.00720125,0.3,4964.9476343,109.9,0.005,100,1,57.9339,-120.867,0.00040231,-78.3938856831,183.670433995,200,0.0819799,185.641897383,-73.8503,1.08891,-78.3938856831
7221.6650051,3.50449e-18,,1.0,-84.5277812944,1.0,0.01,0.3,7221.6650051,116.42,0.01,100,2,84.5544,-148.247,0.01,-84.5277812944,200.0,200,1.0,100.0,-84.5278,1.0,-84.5277812944
3793.22705422,4.12869e-07,0.0164535,0.998145,-73.8132745625,1.44921,0.00725953,0.3,3793.22705422,103.93,0.005,100,1,70.2422,-123.706,0.00284075,-73.8132745625,196.330721202,200,0.567096,196.766638143,-78.2299,1.01869,-73.8132745625
8342.83373992,3.50449e-18,,1.0,-87.9629659861,1.0,0.01,0.3,8342.83373992,120.55,0.01,100,2,90.8813,-151.683,0.01,-87.9629659861,200.0,200,1.0,100.0,-87.963,1.0,-87.9629659861
7288.61754369,5.38988e-07,0.022205,1.01486,-82.9851635,1.21551,0.00598858,0.3,7288.61754369,114.4,0.005,100,1,85.5193,-129.983,0.0013243,-82.9851635,194.485592405,200,0.268796,195.799776657,-84.2918,1.02835,-82.9851635
4967.52019376,3.50449e-18,,1.0,-76.7155950139,1.0,0.01,0.3,4967.52019376,107.55,0.01,100,2,70.1273,-140.435,0.01,-76.7155950139,200.0,200,1.0,100.0,-76.7156,1.0,-76.7155950139
3775.35409254,4.08519e-07,0.0165224,1.00554,-73.765742197,1.33621,0.00664422,0.3,3775.35409254,104.79,0.005,100,1,62.1451,-119.863,0.003303,-73.765742197,196.047915611,200,0.664261,196.800169668,-74.3544,1.02016,-73.765742197
7273.99484143,3.50449e-18,,1.0,-83.4890927148,1.0,0.01,0.3,7273.99484143,115.21,0.01,100,2,84.8602,-147.212,0.01,-83.4890927148,200.0,200,1.0,100.0,-83.4891,1.0,-83.4890927148
7322.94761484,3.14765e-06,0.135442,1.03718,-81.7963536531,1.53545,0.00740203,0.3,7322.94761484,112.78,0.005,100,1,69.3976,-125.601,0.00017728,-81.7963536531,174.291679713,200,0.0367742,177.734090636,-77.3321,1.1475,-81.7963536531
2599.35526352,3.50449e-18,,1.0,-68.9365454027,1.0,0.01,0.3,2599.35526352,98.57,0.01,100,2,50.7283,-132.655,0.01,-68.9365454027,200.0,200,1.0,100.0,-68.9365,1.0,-68.9365454027
4967.49573821,1.07738e-06,0.0430098,0.999007,-76.8190208639,1.69538,0.00848535,0.3,4967.49573821,107.54,0.005,100,1,53.0173,-117.093,0.00246903,-76.8190208639,192.181056807,200,0.493315,191.776638422,-71.1289,1.04069,-76.8190208639
3790.61985264,3.50449e-18,,1.0,-74.4858508015,1.0,0.01,0.3,3790.61985264,105.08,0.01,100,2,61.2594,-138.206,0.01,-74.4858508015,200.0,200,1.0,100.0,-74.4859,1.0,-74.4858508015
