ESSRenyi,Bound,AvgEpLen,VarDiscRet,eRenyi2,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,MaxNormIw,AvgNormIw,VarRet,IterType,VarNormIw,Delta,J,BatchSize,VarJ,AvgVanillaIw,EpsThisIter,AvgRet,MinVanillaIw,AvgDiscRet,MinNormIw,ESSClassic
nan,-inf,41.78,1842.44749571,nan,1.02018e+16,3.7744e+29,-100.290962301,0.749973,0.00333333,38.2040598858,,0.00203978,0.7,-104.65,400,40.7261,4.53431e+13,100,-100.290962301,0.00254802,-98.0174572997,1.87314e-19,1.6307173019
2.54653915319,-17.5665,42.6,60.8797294989,157.076,752.218,1415.66,-99.5867242025,0.866241,0.0025,60.8797294989,1,0.00187736,0.7,31.8015,400,363.006,2.17093,100,-99.5867242025,1.983e-22,-99.5867242025,2.28358e-25,1.3305517423
400.0,-116.342,127.68,1780.03853359,1.0,1.0,,-99.7554030069,0.01,0.01,1780.03853359,2,3.50449e-18,0.7,-99.7554,400,41.979,1.0,100,-99.7554030069,1.0,-99.7554030069,0.01,100.0
400.0,-118.114,153.59,3891.11496876,1.0,1.0,,-107.348278441,0.005,0.005,3891.11496876,2,2.1793e-19,0.7,-103.552,400,53.1191,1.0,100,-107.348278441,1.0,-107.348278441,0.005,200.000000102
400.0,-117.131,136.86,2259.14792156,1.0,1.0,,-108.618690551,0.00333333,0.00333333,2259.14792156,2,5.43914e-20,0.7,-105.241,400,51.3061,1.0,100,-108.618690551,1.0,-108.618690551,0.00333333,299.999969474
8.08432710411e-10,-8.09808e+06,42.6,3234.43892145,6.18481e+11,5.04288e+21,inf,-99.5867242025,0.995277,0.0025,60.8797294989,,0.00247642,0.7,-94.7837,500,1.98024,1.2667e+19,100,-99.5867242025,0.0013294,-103.444502656,2.62375e-25,
2.77014281774,-13.8665,40.74,49.9299865756,180.496,1131.08,2561.42,-101.582287582,0.876769,0.002,49.9299865756,1,0.00153911,0.7,33.467,500,380.492,2.5801,100,-101.582287582,1.34325e-31,-101.582287582,1.04124e-34,1.29867751219
500.0,-114.493,116.44,1578.5527153,1.0,1.0,,-96.081978821,0.01,0.01,1578.5527153,2,3.50449e-18,0.7,-96.082,500,39.5318,1.0,100,-96.081978821,1.0,-96.081978821,0.01,100.0
500.0,-110.718,106.26,905.647236344,1.0,1.0,,-99.3158555403,0.005,0.005,905.647236344,2,2.1793e-19,0.7,-97.6989,500,35.104,1.0,100,-99.3158555403,1.0,-99.3158555403,0.005,200.000000102
500.0,-107.132,125.69,1155.78449651,1.0,1.0,,-94.1080014683,0.00333333,0.00333333,1155.78449651,2,5.43914e-20,0.7,-96.5019,500,34.7247,1.0,100,-94.1080014683,1.0,-94.1080014683,0.00333333,299.999969474
