VarDiscRet,VarNormIw,BatchSize,ESSClassic,VarVanillaIw,MinVanillaIw,VarJ,J,IterType,MinNormIw,AvgDiscRet,MaxVanillaIw,VarRet,eRenyi2,ESSRenyi,Bound,MaxNormIw,AvgRet,VanillaAvgRet,AvgVanillaIw,EpsThisIter,AvgNormIw,Delta,AvgEpLen
7114.63897072,3.32588e-06,100,96.8123184393,0.0335466,0.854898,77.7309,-86.7853,1,0.00851224,-88.7809890924,1.88851,7114.63897072,1.03541,96.5801054798,-138.771,0.018804,-88.7809890924,-88.7809890924,1.00432,100,0.01,0.4,122.31
8268.69283476,9.78824e-06,100,91.1656905481,0.10108,0.523927,80.1692,-85.6546,1,0.00515574,-89.624732886,2.33996,8268.69283476,1.07719,92.833955022,-138.679,0.0230266,-89.624732886,-89.624732886,1.0162,100,0.01,0.4,122.88
5988.82174635,1.92177e-06,100,98.1329740313,0.0194721,0.829899,73.0231,-83.2841,1,0.0082446,-84.3188670859,1.46431,5988.82174635,1.01928,98.108335189,-134.863,0.0145471,-84.3188670859,-84.3188670859,1.0066,100,0.01,0.4,117.41
7141.71161165,4.99472e-06,100,95.2882287055,0.04703,0.438394,75.6872,-84.7509,1,0.00451786,-87.5300317347,1.56082,7141.71161165,1.0536,94.9125449043,-137.191,0.016085,-87.5300317347,-87.5300317347,0.970358,100,0.01,0.4,121.05
1330.36370043,2.0619e-06,100,97.9995586102,0.0207907,0.431482,28.4365,-66.6844,1,0.00429697,-67.652770835,1.15502,1330.36370043,1.02115,97.9292179971,-118.248,0.0115024,-67.652770835,-67.652770835,1.00415,100,0.01,0.4,97.52
8141.70324673,7.04667e-06,100,93.4787428033,0.0703023,0.685777,77.6423,-88.4818,1,0.00686578,-91.7677043059,2.32457,8141.70324673,1.06188,94.1726636392,-141.127,0.0232729,-91.7677043059,-91.7677043059,0.998833,100,0.01,0.4,125.9
7116.41092951,2.39393e-06,100,97.6848623866,0.023947,0.885111,77.8874,-86.3602,1,0.00884967,-87.9967666255,1.68352,7116.41092951,1.02777,97.298108589,-138.154,0.0168324,-87.9967666255,-87.9967666255,1.00016,100,0.01,0.4,121.23
4865.98528397,1.41873e-05,100,87.6843483985,0.155743,0.0420988,39.3764,-73.1994,1,0.000401806,-80.7478836741,1.55171,4865.98528397,1.15101,86.8805754168,-128.004,0.0148101,-80.7478836741,-80.7478836741,1.04774,100,0.01,0.4,113.08
13343.4552554,6.94814e-06,100,93.5640495216,0.0676665,0.362677,112.269,-103.565,1,0.00367509,-107.06769971,1.37673,13343.4552554,1.06467,93.9262094474,-156.28,0.0139507,-107.06769971,-107.06769971,0.986853,100,0.01,0.4,142.97
8318.69533136,4.78673e-06,100,95.4755548157,0.0466379,0.771865,84.5345,-86.1566,1,0.00781973,-88.4244321455,2.25019,8318.69533136,1.04258,95.9160865963,-138.322,0.0227966,-88.4244321455,-88.4244321455,0.987074,100,0.01,0.4,121.01
4911.8011043,1.90376e-06,100,98.1501461801,0.0185369,0.54694,67.4996,-78.5834,1,0.00554278,-79.3774610659,1.14971,4911.8011043,1.01465,98.5560378175,-130.046,0.0116513,-79.3774610659,-79.3774610659,0.986761,100,0.01,0.4,111.27
6026.71596595,1.91784e-05,100,84.0430640815,0.201077,0.0650092,38.812,-72.9248,1,0.000634893,-83.9808869363,1.70787,6026.71596595,1.20635,82.8947499745,-129.038,0.0166794,-83.9808869363,-83.9808869363,1.02394,100,0.01,0.4,116.13
8258.52193223,2.01535e-05,100,83.3666606758,0.193429,0.0886196,60.6907,-80.7676,1,0.000904575,-90.2451659188,1.84275,8258.52193223,1.2154,82.2775780327,-137.09,0.0188096,-90.2451659188,-90.2451659188,0.979683,100,0.01,0.4,123.34
9272.44785071,4.97329e-06,100,95.3074784523,0.0518874,0.747959,88.69,-91.8995,1,0.00732266,-94.1347237967,1.79701,9272.44785071,1.04341,95.8394985266,-144.082,0.017593,-94.1347237967,-94.1347237967,1.02143,100,0.01,0.4,128.46
7190.97076297,3.72078e-06,100,96.4473057651,0.0368349,0.434679,79.0541,-85.4131,1,0.00436874,-87.4690079431,1.52582,7190.97076297,1.03765,96.3717427925,-137.454,0.0153352,-87.4690079431,-87.4690079431,0.994976,100,0.01,0.4,120.78
3739.42385828,1.18394e-06,100,98.8414607316,0.0117318,0.88232,55.7276,-75.8772,1,0.00886355,-76.9402378523,1.37486,3739.42385828,1.0183,98.2031921216,-127.431,0.0138115,-76.9402378523,-76.9402378523,0.995447,100,0.01,0.4,108.44
3764.45523657,8.36441e-06,100,92.3525036503,0.0790203,0.317774,43.9855,-72.0061,1,0.00326939,-75.8823832004,1.37768,3764.45523657,1.06597,93.8115901478,-124.741,0.0141741,-75.8823832004,-75.8823832004,0.971968,100,0.01,0.4,107.02
6040.0754609,4.59017e-06,100,95.6532535877,0.0465997,0.409828,72.1355,-80.763,1,0.00406747,-82.6217497639,1.28817,6040.0754609,1.04061,96.0974083074,-132.879,0.0127849,-82.6217497639,-82.6217497639,1.00757,100,0.01,0.4,114.51
