AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgRet,VarRet,MaxNormIw,VarJ,ESSClassic,VarVanillaIw,EpsThisIter,MinVanillaIw,AvgNormIw,MaxVanillaIw,IterType,AvgVanillaIw,eRenyi2,J,VarDiscRet,BatchSize,Delta,AvgEpLen,VarNormIw,Bound,MinNormIw
4391.98669127,4391.98669127,93.9422608297,4391.98669127,401736.731585,0.0157347,413.407,92.4677511807,0.0800712,100,0.376962,0.01,1.5522,1,0.986483,1.06448,4489.53,401736.731585,100,0.1,473.47,8.22805e-06,3043.31,0.00382127
4443.66807825,4443.66807825,95.5109682776,4443.66807825,278320.737592,0.0147595,316.71,93.8285999587,0.0659919,100,0.235514,0.01,1.47099,1,0.996641,1.047,4523.72,278320.737592,100,0.1,479.51,6.64376e-06,3090.32,0.00236308
4493.67360638,4493.67360638,97.6026373607,4493.67360638,212005.083826,0.0151385,342.744,97.1446919841,0.0288511,100,0.3927,0.01,1.49233,1,0.985783,1.02456,4532.82,212005.083826,100,0.1,484.92,2.96893e-06,3115.24,0.00398364
4520.01463276,4520.01463276,98.0145202404,4520.01463276,147946.370656,0.0128781,283.508,97.8833142798,0.0218179,100,0.549446,0.01,1.28706,1,0.999423,1.02026,4551.05,147946.370656,100,0.1,487.38,2.18431e-06,3135.7,0.00549763
4589.28109666,4589.28109666,99.031584276,4589.28109666,54115.7314271,0.0117942,147.077,98.6635727263,0.0138546,100,0.429548,0.01,1.18681,1,1.00627,1.00978,4606.45,54115.7314271,100,0.1,494.73,1.36825e-06,3198.65,0.00426871
4534.78865523,4534.78865523,97.747757983,4534.78865523,189570.062923,0.0141381,258.387,97.0686045656,0.0309976,100,0.330558,0.01,1.42521,1,1.00806,1.02304,4576.58,189570.062923,100,0.1,488.58,3.0504e-06,3158.87,0.00327915
4533.72307336,4533.72307336,97.9435447996,4533.72307336,168554.53579,0.0135263,288.782,97.2813313343,0.0301416,100,0.526835,0.01,1.39771,1,1.03333,1.021,4568.24,168554.53579,100,0.1,488.56,2.82285e-06,3151.89,0.00509842
4581.91753939,4581.91753939,98.6568562663,4581.91753939,91879.9964745,0.0128274,192.092,98.473858852,0.0161191,100,0.544052,0.01,1.30164,1,1.01474,1.01361,4604.19,91879.9964745,100,0.1,493.63,1.56543e-06,3193.75,0.00536151
4589.54030141,4589.54030141,99.2856167252,4589.54030141,73990.8500538,0.0116978,212.966,99.2602824651,0.00764752,100,0.770974,0.01,1.17906,1,1.00793,1.0072,4600.37,73990.8500538,100,0.1,494.87,7.52761e-07,3194.32,0.00764906
4583.48165919,4583.48165919,99.1024131721,4583.48165919,67415.8887347,0.0120692,201.933,98.7527697128,0.0124803,100,0.66243,0.01,1.19375,1,0.989088,1.00906,4597.31,67415.8887347,100,0.1,493.89,1.27572e-06,3189.24,0.00669738
4554.67828886,4554.67828886,98.6295159297,4554.67828886,125806.284951,0.0122935,264.11,98.5113853763,0.015399,100,0.541057,0.01,1.2348,1,1.00443,1.0139,4577.42,125806.284951,100,0.1,491.25,1.52636e-06,3166.92,0.00538672
4576.80253993,4576.80253993,98.9760940738,4576.80253993,79072.2373785,0.0119571,212.618,98.381453802,0.0160918,100,0.569477,0.01,1.17664,1,0.984049,1.01034,4592.63,79072.2373785,100,0.1,493.47,1.66177e-06,3184.34,0.00578708
4598.38288697,4598.38288697,99.1448255778,4598.38288697,64097.898504,0.0117256,165.129,98.951247314,0.010508,100,0.536743,0.01,1.16169,1,0.99073,1.00863,4613.02,64097.898504,100,0.1,495.48,1.07056e-06,3205.95,0.00541765
4630.3914041,4630.3914041,99.9373590191,4630.3914041,7379.86571985,0.0105735,80.9547,99.9305962238,0.000701229,100,0.926727,0.01,1.05704,1,0.999711,1.00063,4631.27,7379.86571985,100,0.1,498.82,7.01635e-08,3229.44,0.00926995
4624.7496426,4624.7496426,99.7403467069,4624.7496426,18983.3027715,0.0113178,108.809,99.7112059075,0.0029802,100,0.760233,0.01,1.14231,1,1.00931,1.0026,4628.88,18983.3027715,100,0.1,498.01,2.9255e-07,3225.64,0.00753224
4591.16061084,4591.16061084,99.2748067844,4591.16061084,80584.7771367,0.011283,221.736,99.4513796045,0.00572327,100,0.755419,0.01,1.14347,1,1.01344,1.0073,4602.29,80584.7771367,100,0.1,494.4,5.57247e-07,3196.29,0.007454
4629.52079138,4629.52079138,99.8544430578,4629.52079138,7662.74164499,0.010834,75.5381,99.8119274985,0.00189671,100,0.821036,0.01,1.0815,1,0.998243,1.00146,4631.73,7662.74164499,100,0.1,498.6,1.9034e-07,3229.76,0.0082248
4601.30176397,4601.30176397,98.8997201463,4601.30176397,84754.9987038,0.0115433,128.346,98.5965357677,0.0145306,100,0.273024,0.01,1.16042,1,1.00528,1.01113,4625.15,84754.9987038,100,0.1,495.74,1.43785e-06,3215.78,0.00271591
4643.21877885,4643.21877885,99.9859352823,4643.21877885,458.925891035,0.0105845,20.8761,99.9775374842,0.000227931,100,0.937647,0.01,1.06143,1,1.00282,1.00014,4643.41,458.925891035,100,0.1,500.0,2.26652e-08,3241.9,0.00935013
4630.7112926,4630.7112926,99.8947537144,4630.7112926,7665.45077956,0.0107856,79.5834,99.861462941,0.0013902,100,0.870935,0.01,1.07427,1,0.996027,1.00105,4632.21,7665.45077956,100,0.1,498.67,1.40132e-07,3230.42,0.00874409
4641.69343827,4641.69343827,99.9950530592,4641.69343827,695.426539779,0.0101748,26.113,99.9946552657,5.4296e-05,100,0.981161,0.01,1.0181,1,1.00061,1.00005,4641.77,695.426539779,100,0.1,499.94,5.42299e-09,3240.04,0.00980564
4621.1447,4621.1447,99.662126159,4621.1447,31042.9223292,0.0116021,142.916,99.5366553801,0.00467636,100,0.805838,0.01,1.15698,1,0.997221,1.00339,4626.18,31042.9223292,100,0.1,497.39,4.70246e-07,3222.05,0.00808084
4588.20857972,4588.20857972,98.7599740285,4588.20857972,60386.4861335,0.0121712,158.945,97.9145729779,0.020947,100,0.477055,0.01,1.20099,1,0.98675,1.01256,4609.64,60386.4861335,100,0.1,494.12,2.15133e-06,3198.91,0.00483461
4609.45313628,4609.45313628,99.1964933246,4609.45313628,48297.6216799,0.0119255,135.28,99.1801602146,0.00870562,100,0.497321,0.01,1.21772,1,1.0211,1.0081,4623.27,48297.6216799,100,0.1,496.04,8.34951e-07,3215.34,0.00487043
4639.24017406,4639.24017406,99.9455986496,4639.24017406,2891.6626867,0.0108717,49.7904,99.9151787633,0.000856944,100,0.890269,0.01,1.0868,1,0.999661,1.00054,4640.04,2891.6626867,100,0.1,499.37,8.57525e-08,3238.05,0.00890571
4638.50339777,4638.50339777,99.9892961516,4638.50339777,1426.22085152,0.0102446,37.114,99.9874627703,0.000126466,100,0.966422,0.01,1.02326,1,0.998823,1.00011,4638.66,1426.22085152,100,0.1,499.68,1.26764e-08,3236.94,0.00967561
4645.94112202,4645.94112202,99.9942067642,4645.94112202,567.446458402,0.0102969,23.5558,99.9919554055,8.13689e-05,100,0.981104,0.01,1.03019,1,1.00049,1.00006,4646.03,567.446458402,100,0.1,499.94,8.12894e-09,3243.74,0.00980625
4616.57061553,4616.57061553,99.6556379821,4616.57061553,48333.9511237,0.0116734,184.344,99.561289548,0.00447465,100,0.825048,0.01,1.17049,1,1.00269,1.00346,4621.72,48333.9511237,100,0.1,496.85,4.45064e-07,3217.59,0.00822831
4644.14017917,4644.14017917,99.9802509218,4644.14017917,1130.36442222,0.0102274,31.9055,99.978291588,0.000219801,100,0.930708,0.01,1.02388,1,1.00111,1.0002,4644.42,1130.36442222,100,0.1,499.75,2.19311e-08,3243.13,0.00929672
4607.60340496,4607.60340496,99.4293656409,4607.60340496,61453.0005496,0.0117489,184.56,99.3884879898,0.00627764,100,0.713187,0.01,1.18084,1,1.00507,1.00574,4616.88,61453.0005496,100,0.1,495.92,6.21452e-07,3211.6,0.00709593
4637.02505648,4637.02505648,99.8764493567,4637.02505648,8781.89960357,0.0105915,77.2104,99.8599246865,0.00142344,100,0.820103,0.01,1.06164,1,1.00235,1.00124,4638.88,8781.89960357,100,0.1,499.04,1.41676e-07,3236.87,0.00818178
4607.45783899,4607.45783899,99.2834075459,4607.45783899,51183.203457,0.0113231,151.363,98.9188253653,0.0110562,100,0.590731,0.01,1.13313,1,1.00072,1.00722,4619.57,51183.203457,100,0.1,495.91,1.10403e-06,3212.89,0.00590307
4613.93230649,4613.93230649,99.5233476146,4613.93230649,33823.639707,0.0117579,146.561,99.3643812585,0.00641622,100,0.741551,0.01,1.17166,1,0.996493,1.00479,4621.22,33823.639707,100,0.1,496.9,6.46146e-07,3216.79,0.0074416
4647.54977285,4647.54977285,99.9877706227,4647.54977285,609.40380679,0.0102718,24.177,99.9832859919,0.000169354,100,0.963761,0.01,1.02811,1,1.00091,1.00012,4647.73,609.40380679,100,0.1,499.92,1.69047e-08,3246.02,0.00962888
