Delta,AvgDiscRet,Bound,VarRet,VarJ,MaxVanillaIw,eRenyi2,VarDiscRet,MaxNormIw,VarNormIw,AvgRet,AvgNormIw,AvgVanillaIw,J,EpsThisIter,VanillaAvgRet,IterType,ESSClassic,AvgEpLen,VarVanillaIw,ESSRenyi,MinNormIw,MinVanillaIw,BatchSize
0.3,-70.8771768016,-92.573,4286.32615535,65.1419,1.0,1.0,4286.32615535,0.01,3.50449e-18,-70.8771768016,0.01,1.0,-70.8772,100,-70.8771768016,2,100.0,168.58,,300.0,0.01,1.0,300
0.3,-69.873704178,-85.7167,4344.80184374,65.3656,1.0,1.0,4344.80184374,0.005,2.1793e-19,-69.873704178,0.005,1.0,-70.3754,100,-69.873704178,2,200.000000102,173.33,,300.0,0.005,1.0,300
0.3,-57.3691023192,-inf,3851.76134488,5.44253e-06,2.22634e+28,4.43387e-10,5659.63473944,0.999999,0.00333332,-75.2058753638,0.00333333,7.42116e+25,57.3272,100,-75.2058753638,,,163.31,inf,902145597439.0,5.33181e-31,0.0118705,400
0.3,-84.2421763232,-57.8825,2755.84673867,235.162,24.1311,7.91644,2755.84673867,0.0527255,4.30129e-05,-84.2421763232,0.0025,1.14418,-22.9202,100,-84.2421763232,1,50.8591434995,133.16,9.0097,50.527738067,8.01647e-21,3.66892e-18,400
0.3,-56.3365788181,-75.5369,5577.55449676,74.3087,1.0,1.0,5577.55449676,0.01,3.50449e-18,-56.3365788181,0.01,1.0,-56.3366,100,-56.3365788181,2,100.0,206.87,,400.0,0.01,1.0,400
0.3,-56.5889715873,-70.2132,5557.48219221,74.2419,1.0,1.0,5557.48219221,0.005,2.1793e-19,-56.5889715873,0.005,1.0,-56.4628,100,-56.5889715873,2,200.000000102,206.47,,400.0,0.005,1.0,400
0.3,-59.2704070176,-68.6258,5340.6725634,73.7479,1.0,1.0,5340.6725634,0.00333333,5.43914e-20,-59.2704070176,0.00333333,1.0,-57.3987,100,-59.2704070176,2,299.999969474,199.29,,400.0,0.00333333,1.0,400
0.3,-66.0668114822,-inf,2755.84673867,31.3302,2.72559e+17,nan,4999.16695606,0.993659,0.00246841,-84.2421763232,0.0025,6.85747e+14,-122.726,100,-84.2421763232,,1.01276634404,133.16,1.85722e+32,nan,1.51077e-19,0.0414403,500
0.3,-95.8037868593,-60.0884,1566.49137189,366.518,59.2324,19.5969,1566.49137189,0.114623,9.06031e-05,-95.8037868593,0.002,1.03352,-10.8875,100,-95.8037868593,1,21.181526576,130.85,24.1947,25.514253173,2.98276e-28,1.54137e-25,500
0.3,-52.8989532222,-71.2467,5900.80414041,76.4316,1.0,1.0,5900.80414041,0.01,3.50449e-18,-52.8989532222,0.01,1.0,-52.8989,100,-52.8989532222,2,100.0,210.13,,500.0,0.01,1.0,500
0.3,-44.7899738413,-62.8334,6329.99915301,77.9146,1.0,1.0,6329.99915301,0.005,2.1793e-19,-44.7899738413,0.005,1.0,-48.8445,100,-44.7899738413,2,200.000000102,241.86,,500.0,0.005,1.0,500
0.3,-52.3519001525,-61.4355,5777.09504769,77.1771,1.0,1.0,5777.09504769,0.00333333,5.43914e-20,-52.3519001525,0.00333333,1.0,-50.0136,100,-52.3519001525,2,299.999969474,215.0,,500.0,0.00333333,1.0,500
0.3,-54.1624737975,-60.9425,5615.26545939,76.5521,1.0,1.0,5615.26545939,0.0025,5.4346e-20,-54.1624737975,0.0025,1.0,-51.0508,100,-54.1624737975,2,400.0,209.17,,500.0,0.0025,1.0,500
0.3,-59.1265040757,-20.092,5492.10297625,258.049,114.445,24.739,5492.10297625,0.154773,0.000124334,-59.1265040757,0.002,1.47887,23.9134,100,-59.1265040757,1,15.6146285632,203.57,67.9816,20.2110415644,4.8377e-22,3.57717e-19,500
0.3,-46.1239256688,-64.9111,6361.60441318,79.3599,1.0,1.0,6361.60441318,0.01,3.50449e-18,-46.1239256688,0.01,1.0,-46.1239,100,-46.1239256688,2,100.0,245.66,,500.0,0.01,1.0,500
0.3,-38.4172254803,-55.6306,6551.27920903,80.042,1.0,1.0,6551.27920903,0.005,2.1793e-19,-38.4172254803,0.005,1.0,-42.2706,100,-38.4172254803,2,200.000000102,249.65,,500.0,0.005,1.0,500
0.3,-44.5137075612,-53.9267,6135.77541241,79.3541,1.0,1.0,6135.77541241,0.00333333,5.43914e-20,-44.5137075612,0.00333333,1.0,-43.0183,100,-44.5137075612,2,299.999969474,232.15,,500.0,0.00333333,1.0,500
0.3,-53.0274287614,-54.9813,6001.24408931,78.9107,1.0,1.0,6001.24408931,0.0025,5.4346e-20,-53.0274287614,0.0025,1.0,-45.5206,100,-53.0274287614,2,400.0,223.64,,500.0,0.0025,1.0,500
0.3,-46.175107759,-38.3685,6353.19415461,188.303,21.1568,4.48142,6353.19415461,0.0361675,1.71084e-05,-46.175107759,0.002,1.16993,-20.1412,100,-46.175107759,1,94.903044402,248.28,5.85426,111.571777589,1.16819e-13,6.83353e-11,500
0.3,-43.0335212475,-61.8299,6578.68454682,80.7025,1.0,1.0,6578.68454682,0.01,3.50449e-18,-43.0335212475,0.01,1.0,-43.0335,100,-43.0335212475,2,100.0,247.9,,500.0,0.01,1.0,500
0.3,-45.0986478196,-57.6631,6374.45636653,80.0804,1.0,1.0,6374.45636653,0.005,2.1793e-19,-45.0986478196,0.005,1.0,-44.0661,100,-45.0986478196,2,200.000000102,244.06,,500.0,0.005,1.0,500
