MaxVanillaIw,Bound,VanillaAvgRet,renyi2,BatchSize,J,AvgDiscRet,AvgEpLen,EpsThisIter,delta,VarRet,AvgRet,ESSClassic,AvgVanillaIw,VarVanillaIw,VarDiscRet,MinNormIw,MinVanillaIw,SamplesThisIter,VarNormIw,IterType,AvgNormIw,ESSRenyi,MaxNormIw,VarJ
1.41069e+08,1867.08,808.480782374,nan,100,361212.0,808.480782374,87.4125874126,572,0.6,184552.756175,808.480782374,2.12784216214,12956.1,1.45341e+12,184552.756175,,,50000,8.16776e-07,1,9.71251e-06,nan,0.105752,16869.1
1.00892e+13,1784.71,808.161672539,nan,100,358459.0,808.161672539,87.4125874126,572,0.6,196813.850348,808.161672539,3.99992433958,3.94534e+08,3.95457e+21,196813.850348,,,50000,2.39659e-06,1,9.71251e-06,nan,0.248372,21415.2
1.82454e+14,2719.44,838.179700245,nan,100,540938.0,838.179700245,90.5797101449,552,0.6,280825.298735,838.179700245,3.99819097198,7.59911e+09,1.34071e+24,280825.298735,,,50000,2.35173e-06,1,1.00644e-05,nan,0.241645,37949.9
2.91675e+08,1867.47,771.32482322,nan,100,339226.0,771.32482322,83.3333333333,600,0.6,175787.64167,771.32482322,3.63851237072,23551.5,5.0259e+12,175787.64167,,,50000,7.76838e-07,1,9.25926e-06,nan,0.114672,17004.6
8.22619e+07,2148.91,736.833113991,nan,100,387526.0,736.833113991,79.6178343949,628,0.6,243492.69778,736.833113991,2.01073198416,10734.9,6.22254e+11,243492.69778,,,50000,4.22577e-07,1,8.84643e-06,nan,0.0677903,24572.4
20899.3,1388.66,750.914123747,nan,100,259029.0,750.914123747,81.1688311688,616,0.6,151332.717435,750.914123747,2.91883242968,7.98949,24440.0,151332.717435,,,50000,3.11428e-08,1,9.01876e-06,nan,0.0235917,14116.3
4.04124e+07,1811.12,832.084029375,nan,100,346418.0,832.084029375,89.928057554,556,0.6,185546.969119,832.084029375,3.02324221206,4411.29,9.04682e+10,185546.969119,,,50000,4.64161e-07,1,9.99201e-06,nan,0.0915381,20647.5
1.85721e+06,1710.44,851.020721244,nan,100,320300.0,851.020721244,91.9117647059,544,0.6,185583.113695,851.020721244,2.59501345194,232.498,2.2688e+08,185583.113695,,,50000,4.37738e-07,1,1.02124e-05,nan,0.0815773,18622.8
2.02024e+12,1912.08,870.012208352,nan,100,367019.0,870.012208352,93.984962406,532,0.6,209808.437018,870.012208352,4.0,8.44086e+07,1.70478e+20,209808.437018,,,50000,2.60931e-06,1,1.04428e-05,nan,0.249938,25047.3
1.51828e+06,1852.84,825.814670477,nan,100,327940.0,825.814670477,89.2857142857,560,0.6,196362.50645,825.814670477,4.72447582802,389.225,3.61261e+08,196362.50645,,,50000,2.34692e-07,1,9.92063e-06,nan,0.038698,19194.3
1.86818e+08,1766.05,876.097994258,nan,100,350437.0,876.097994258,94.696969697,528,0.6,182114.419699,876.097994258,2.62875625455,19239.8,2.24456e+12,182114.419699,,,50000,6.71303e-07,1,1.05219e-05,nan,0.102168,20106.9
1.42778e+06,1770.86,863.275073038,nan,100,328860.0,863.275073038,93.2835820896,536,0.6,221807.09539,863.275073038,1.3580747906,266.671,2.49798e+08,221807.09539,,,50000,3.77366e-07,1,1.03648e-05,nan,0.0554943,20198.7
1.44088e+08,2025.0,1023.54015441,nan,100,393496.0,1023.54015441,110.619469027,452,0.6,243283.710426,1023.54015441,3.66274174913,10113.3,1.11478e+12,243283.710426,,,50000,1.64659e-06,1,1.22911e-05,nan,0.175116,20637.4
5.87124e+09,1752.95,863.549120123,nan,100,331423.0,863.549120123,93.2835820896,536,0.6,215656.5518,863.549120123,3.99997000174,244482.0,1.42913e+15,215656.5518,,,50000,2.56864e-06,1,1.03648e-05,nan,0.248912,20251.0
52667.3,1656.93,869.617416096,nan,100,291405.0,869.617416096,93.984962406,532,0.6,195643.301182,869.617416096,2.41458821161,15.705,206399.0,195643.301182,,,50000,9.12568e-08,1,1.04428e-05,nan,0.0350203,15541.1
1.84107e+16,nan,876.392378928,nan,100,nan,876.392378928,94.696969697,528,0.6,263648.913322,876.392378928,3.81213751232,1.04745e+12,1.49677e+28,263648.913322,,,50000,1.51036e-06,1,1.05219e-05,nan,0.18494,nan
