J,AvgNormIw,VarJ,MinNormIw,MaxNormIw,eRenyi2,VanillaAvgRet,VarRet,VarDiscRet,ESSRenyi,AvgEpLen,AvgRet,Delta,AvgDiscRet,ESSClassic,AvgVanillaIw,VarNormIw,Bound,BatchSize,IterType,MinVanillaIw,EpsThisIter,MaxVanillaIw,VarVanillaIw
-74.5775,0.01,61.0808,0.00469107,0.0135015,1.01591,-77.0231629108,4965.73833931,4965.73833931,98.4340059443,107.62,-77.0231629108,0.1,-77.0231629108,98.2999966046,0.997946,1.74689e-06,-200.705,100,1,0.468143,100,1.34737,0.0173972
-89.6657,0.01,92.7796,0.00801273,0.0132763,1.01028,-91.0256624053,9409.80353681,9409.80353681,98.9828210938,123.73,-91.0256624053,0.1,-91.0256624053,99.1315951426,0.988864,8.84917e-07,-215.45,100,1,0.79235,100,1.31285,0.00865319
-79.5349,0.01,70.1251,0.00575777,0.0127935,1.01699,-81.8195079607,6073.68904126,6073.68904126,98.3297923655,113.71,-81.8195079607,0.1,-81.8195079607,98.1900131092,0.996537,1.86196e-06,-205.736,100,1,0.573783,100,1.27492,0.0184908
-63.0219,0.01,23.4191,0.00594758,0.011165,1.00986,-64.4627922185,1368.18233111,1368.18233111,99.0231907356,92.4,-64.4627922185,0.1,-64.4627922185,98.8948740756,0.997249,1.12876e-06,-188.778,100,1,0.593122,100,1.11343,0.0112256
-96.5092,0.01,101.28,0.00552901,0.0136146,1.02016,-99.2342220534,11448.8156149,11448.8156149,98.0237974434,133.21,-99.2342220534,0.1,-99.2342220534,97.7657851086,0.9901,2.30837e-06,-222.906,100,1,0.547428,100,1.34798,0.0226288
-77.6919,0.01,76.0221,0.00738146,0.0127865,1.0052,-78.3239822529,6174.80578864,6174.80578864,99.4823804546,108.88,-78.3239822529,0.1,-78.3239822529,99.2985219443,1.00391,7.13539e-07,-203.158,100,1,0.741032,100,1.28364,0.00719128
-79.5811,0.01,74.666,0.0083282,0.0126101,1.0061,-80.3635176468,6089.78858169,6089.78858169,99.3934571191,111.6,-80.3635176468,0.1,-80.3635176468,99.3244566217,1.00098,6.8697e-07,-205.104,100,1,0.833635,100,1.26224,0.00688314
-74.4406,0.01,59.5824,0.00876188,0.0116452,1.00273,-74.7928125408,3773.00184338,3773.00184338,99.7280029084,105.48,-74.7928125408,0.1,-74.7928125408,99.7542122287,1.0047,2.48893e-07,-199.754,100,1,0.880303,100,1.16999,0.00251236
-82.4224,0.01,75.4021,0.00463928,0.0120756,1.02336,-85.2693477274,7224.34987298,7224.34987298,97.7170146564,116.79,-85.2693477274,0.1,-85.2693477274,97.8177426771,0.984407,2.25346e-06,-209.014,100,1,0.456694,100,1.18873,0.0218373
-73.3607,0.01,59.5487,0.00803087,0.0123036,1.00443,-73.9167387985,3795.77637609,3795.77637609,99.5591373781,104.41,-73.9167387985,0.1,-73.9167387985,99.4365806319,0.997438,5.72307e-07,-198.779,100,1,0.80103,100,1.2272,0.00569378
