ReturnMeanIW,TimestepsSoFar,Iteration,EpLenMean,Weights,EmpiricalD2,InitialBound,MaxD2w0t,InitialReturnMin,StdD2w0t,J_sample_variance,ReturnStepMax,ReturnStepMaxmin,MaxIW,EpRewMean,MeanD2w0t,Bound,MeanIW,InitialReturnMean,InitialReturnMax,StdIW,InitialReturnStd,MinIW,MinD2w0t,TimeElapsed,EpThisIter,EpisodesSoFar
3.6214507,752611,69,113.71,[-0.633 -0.65  -0.375 -0.355 -0.424],1.0,-6.4289503,1.0,-3.5678935,0.4191608,2.6147885,100.0,97.00693,1.000421,-113.31612723978742,0.22742,-6.4289274,1.0000035,-4.7683717e-08,3.8507779,0.00012298448,1.6088995,0.9996546,,1643.4000992774963,100,6900
4.4965425,762911,70,103.0,[-0.633 -0.65  -0.375 -0.355 -0.424],1.0,-5.5538354,1.0,-3.0273852,0.40442592,2.0952034,100.0,96.80818,1.0,-112.87837317498796,0.206,-5.5538354,1.0,1.04904174e-07,3.4331431,,1.4402263,1.0,,1664.3989658355713,100,7000
5.3767962,772551,71,96.4,[-0.633 -0.65  -0.375 -0.355 -0.424],1.1719296,-4.7547226,1.8307436,-2.9588943,0.4358811,4.109966,100.0,96.66943,2.5093927,-112.3334506821408,0.21199372,-4.7109466,1.0788587,5.2452087e-08,4.628065,0.4025141,1.8143333,0.07886118,,1682.836553812027,100,7100
4.985431,782296,72,97.45,[-0.632 -0.648 -0.382 -0.355 -0.424],1.0,-5.0649467,1.0,-2.9465008,0.39611614,2.4652476,100.0,96.676895,1.0,-113.19325811787549,0.1949,-5.0649467,1.0,-4.2915343e-07,3.7889738,,1.5622406,1.0,,1704.5818500518799,100,7200
4.410312,792482,73,101.86,[-0.632 -0.648 -0.382 -0.355 -0.424],1.0,-5.6400657,1.0,-3.2063408,0.4027617,3.0593328,100.0,96.79205,1.0,-112.45081246688338,0.20372,-5.6400657,1.0,-5.531311e-07,4.821784,,1.7403275,1.0,,1725.4711668491364,100,7300
4.57055,802909,74,104.27,[-0.632 -0.648 -0.382 -0.355 -0.424],1.1570172,-5.584394,1.7121772,-2.5881143,0.45216373,2.5058062,100.0,96.82707,3.287833,-113.28562678999027,0.23071724,-5.501278,1.0338235,-4.386902e-07,3.8619237,0.3131308,1.5672532,0.3382218,,1747.0836629867554,100,7400
4.7413855,813049,75,101.4,[-0.635 -0.654 -0.386 -0.351 -0.432],1.0,-5.309005,1.0,-4.5126953,0.40208834,3.3915255,100.0,96.78143,1.0003165,-112.48142122190373,0.2028,-5.3089924,1.0000094,3.528595e-07,4.1044254,6.813629e-05,1.83242,0.9998507,,1769.5315153598785,100,7500
4.571022,823449,76,104.0,[-0.635 -0.654 -0.386 -0.351 -0.432],1.0,-5.479356,1.0,-3.064299,0.40588152,2.7829702,100.0,96.79903,1.0,-114.45141633407782,0.208,-5.479356,1.0,-1.3113022e-07,3.767948,,1.6598617,1.0,,1790.7016201019287,100,7600
4.322513,834155,77,107.06,[-0.635 -0.654 -0.386 -0.351 -0.432],3.2527149,-6.042097,22.965528,-3.1401663,1.2926415,5.7354603,100.0,96.88921,10.192974,-112.99046564466045,0.47171497,-5.8824677,1.171024,-3.0994414e-08,3.6236796,1.006544,1.6324041,0.054708056,,1812.4610192775726,100,7700
2.7347472,846866,78,127.11,[-0.634 -0.663 -0.382 -0.338 -0.434],1.0,-7.315631,1.0,-3.67629,0.43542016,2.981182,100.0,97.21668,1.0,-113.3396019987095,0.25422,-7.315631,1.0,-2.002716e-07,3.40315,,1.7179554,1.0,,1839.1592121124268,100,7800
2.0231864,860296,79,134.3,[-0.634 -0.663 -0.382 -0.338 -0.434],1.0,-8.027191,1.0,-2.6401577,0.443231,2.7972455,100.0,97.25353,1.0,-117.27545671952298,0.2686,-8.027191,1.0,-3.8146972e-08,4.462657,,1.6641135,1.0,,1865.3697760105133,100,7900
2.5041142,873173,80,128.77,[-0.634 -0.663 -0.382 -0.338 -0.434],1.0,-7.5462637,1.0,-3.530178,0.43728265,2.775398,100.0,97.17717,1.0,-117.36314111429812,0.25754,-7.5462637,1.0,-4.529953e-07,4.129592,,1.6576018,1.0,,1891.8991122245789,100,8000
2.6634374,885942,81,127.69,[-0.634 -0.663 -0.382 -0.338 -0.434],1.0,-7.3869405,1.0,-3.2852888,0.43607765,2.9808478,100.0,97.152084,1.0,-117.98060654896433,0.25538,-7.3869405,1.0,9.059906e-08,3.1260738,,1.7178589,1.0,,1917.0737471580505,100,8100
