eRenyi2,AvgNormIw,MinVanillaIw,MaxNormIw,AvgRet,VarVanillaIw,AvgEpLen,MinNormIw,ESSRenyi,VarNormIw,ESSClassic,VarDiscRet,AvgVanillaIw,AvgDiscRet,MaxVanillaIw,Bound,J,BatchSize,VarJ,VarRet
nan,0.009999998,1.0,0.01,209.27300161514432,,21.94,0.01,nan,3.5044917e-18,100.0,11910.746733556125,1.0,182.0329987665243,1.0,nan,182.03299,100,108.58931,19395.174460119677
nan,0.009999998,1.0,0.01,196.67881870172917,,20.68,0.01,nan,3.5044917e-18,100.0,10649.80249174807,1.0,172.61728444735724,1.0,nan,172.61728,100,102.680595,16849.64586480631
nan,0.009999998,1.0,0.01,195.28277669215575,,20.54,0.01,nan,3.5044917e-18,100.0,10216.545626351777,1.0,171.76516683684716,1.0,nan,171.76515,100,100.570274,16047.883932166185
nan,0.009999998,1.0,0.01,171.20087898161262,,18.13,0.01,nan,3.5044917e-18,100.0,9547.47895895827,1.0,152.05383250948535,1.0,nan,152.05385,100,97.22142,14819.706548199778
nan,0.009999998,1.0,0.01,178.69422089714556,,18.88,0.01,nan,3.5044917e-18,100.0,9983.522588180156,1.0,158.0509517919186,1.0,nan,158.05095,100,99.41673,15735.18724271529
nan,0.009999998,1.0,0.01,215.07232110213488,,22.52,0.01,nan,3.5044917e-18,100.0,14189.289250093787,1.0,185.11567438557225,1.0,nan,185.11568,100,118.521706,23816.153703514803
nan,0.009999998,1.0,0.01,183.68487476967275,,19.38,0.01,nan,3.5044917e-18,100.0,10058.955451619046,1.0,162.28905493869917,1.0,nan,162.28905,100,99.79161,15477.347709425876
nan,0.009999998,1.0,0.01,188.3925568457879,,19.85,0.01,nan,3.5044917e-18,100.0,12152.037318376537,1.0,164.66455740439753,1.0,nan,164.66455,100,109.68371,19681.57140420638
nan,0.009999998,1.0,0.01,166.39720745820551,,17.65,0.01,nan,3.5044917e-18,100.0,10972.12400288024,1.0,146.86081569777613,1.0,nan,146.86081,100,104.222855,17832.36275957033
nan,0.009999998,1.0,0.01,163.89450441792607,,17.4,0.01,nan,3.5044917e-18,100.0,9153.0759005124,1.0,146.15306717430357,1.0,nan,146.15305,100,95.19215,13934.0743427847
nan,0.009999998,1.0,0.01,194.08546365292742,,20.42,0.01,nan,3.5044917e-18,100.0,11467.305935901988,1.0,169.82735798586017,1.0,nan,169.82735,100,106.54874,18617.275169789176
nan,0.009999998,1.0,0.01,201.88353007508442,,21.2,0.01,nan,3.5044917e-18,100.0,12196.390719886182,1.0,175.69510396157744,1.0,nan,175.6951,100,109.8837,20235.78120877062
nan,0.009999998,1.0,0.01,180.79181089602412,,19.09,0.01,nan,3.5044917e-18,100.0,10227.820694701082,1.0,159.686438197423,1.0,nan,159.68642,100,100.625755,16004.264976232262
nan,0.009999998,1.0,0.01,165.19514737041666,,17.53,0.01,nan,3.5044917e-18,100.0,9167.199672485796,1.0,147.17908643769886,1.0,nan,147.17908,100,95.26556,14242.71501580034
nan,0.009999998,1.0,0.01,187.18430602816863,,19.73,0.01,nan,3.5044917e-18,100.0,11968.612160542443,1.0,163.78790195009628,1.0,nan,163.7879,100,108.852776,19332.676827582858
nan,0.009999998,1.0,0.01,167.60063620775938,,17.77,0.01,nan,3.5044917e-18,100.0,10442.48283373102,1.0,148.20278113244476,1.0,nan,148.20279,100,101.67624,17089.76778176664
nan,0.009999998,1.0,0.01,168.89482711341233,,17.9,0.01,nan,3.5044917e-18,100.0,10647.418457406422,1.0,149.2363082805109,1.0,nan,149.2363,100,102.6691,17153.4278829804
nan,0.009999998,1.0,0.01,174.39461741946639,,18.45,0.01,nan,3.5044917e-18,100.0,9934.672028084859,1.0,154.47384653251234,1.0,nan,154.47385,100,99.17321,15572.714592022516
nan,0.009999998,1.0,0.01,171.49629481572657,,18.16,0.01,nan,3.5044917e-18,100.0,11090.320552687868,1.0,151.2058627645959,1.0,nan,151.20584,100,104.782715,17683.250793074116
nan,0.009999998,1.0,0.01,186.080379848741,,19.62,0.01,nan,3.5044917e-18,100.0,11250.541144597191,1.0,163.2712296717367,1.0,nan,163.27122,100,105.536896,18389.63594137215
nan,0.009999998,1.0,0.01,182.98620710872115,,19.31,0.01,nan,3.5044917e-18,100.0,11233.37320514579,1.0,160.78876686017375,1.0,nan,160.78876,100,105.45634,17979.80404080796
nan,0.009999998,1.0,0.01,187.48736274681985,,19.76,0.01,nan,3.5044917e-18,100.0,11471.868104597752,1.0,164.42835722831293,1.0,nan,164.42834,100,106.56992,18262.571887137125
nan,0.009999998,1.0,0.01,192.29140280675142,,20.24,0.01,nan,3.5044917e-18,100.0,10339.051939014886,1.0,169.1700391845222,1.0,nan,169.17003,100,101.17144,16412.238807893176
