ESSRenyi,MaxNormIw,VarVanillaIw,AvgNormIw,BatchSize,ESSClassic,VanillaAvgRet,VarDiscRet,J,AvgEpLen,VarRet,MinVanillaIw,AvgDiscRet,VarNormIw,MaxVanillaIw,AvgRet,Bound,AvgVanillaIw,MinNormIw,eRenyi2,VarJ
100.0,0.01,,0.009999998,100,100.0,2975.188501515289,2782435.780823432,-1.9073486e-06,298.34,2782435.780823432,1.0,4.592948243953288e-13,3.5044917e-18,1.0,4.592948243953288e-13,-140.28915,1.0,0.01,1.0,1659.7023
100.0,0.01,,0.009999998,100,100.0,3380.327361906761,2579623.1525662974,-1.9073486e-06,338.73,2579623.1525662974,1.0,2.2737367544323206e-13,3.5044917e-18,1.0,2.2737367544323206e-13,-135.07956,1.0,0.01,1.0,1598.0697
100.0,0.01,,0.009999998,100,100.0,3309.861307049207,2481087.531563181,1.5258789e-05,331.76,2481087.531563181,1.0,-5.184119800105691e-13,3.5044917e-18,1.0,-5.184119800105691e-13,-132.4746,1.0,0.01,1.0,1567.2512
100.0,0.01,,0.009999998,100,100.0,3025.8553104489783,2507197.4474978955,-2.4795532e-05,303.4,2507197.4474978955,1.0,6.639311322942376e-13,3.5044917e-18,1.0,6.639311322942376e-13,-133.16985,1.0,0.01,1.0,1575.4763
100.0,0.01,,0.009999998,100,100.0,3230.655940958178,2818931.169490035,-1.1444092e-05,323.81,2818931.169490035,1.0,-6.09361450187862e-13,3.5044917e-18,1.0,-6.09361450187862e-13,-141.2062,1.0,0.01,1.0,1670.5514
100.0,0.01,,0.009999998,100,100.0,2953.1929336514913,2967299.4623280703,-1.1444092e-05,296.14,2967299.4623280703,1.0,4.5474735088646414e-14,3.5044917e-18,1.0,4.5474735088646414e-14,-144.87462,1.0,0.01,1.0,1713.9504
100.0,0.01,,0.009999998,100,100.0,3283.719834810351,2631221.8531248625,-1.5258789e-05,329.11,2631221.8531248625,1.0,-4.1154635255225004e-13,3.5044917e-18,1.0,-4.1154635255225004e-13,-136.42384,1.0,0.01,1.0,1613.9733
100.0,0.01,,0.009999998,100,100.0,2876.9957599974414,2508318.6274395054,-1.9073486e-05,288.59,2508318.6274395054,1.0,-3.183231456205249e-14,3.5044917e-18,1.0,-3.183231456205249e-14,-133.1996,1.0,0.01,1.0,1575.8285
100.0,0.01,,0.009999998,100,100.0,3121.8370541173435,2223374.7889288617,1.335144e-05,313.06,2223374.7889288617,1.0,-1.2460077414289118e-12,3.5044917e-18,1.0,-1.2460077414289118e-12,-125.40585,1.0,0.01,1.0,1483.6241
100.0,0.01,,0.009999998,100,100.0,3054.016046857702,2986366.5145751354,-1.7166138e-05,306.21,2986366.5145751354,1.0,-3.774403012357652e-13,3.5044917e-18,1.0,-3.774403012357652e-13,-145.33931,1.0,0.01,1.0,1719.4485
100.0,0.01,,0.009999998,100,100.0,3049.690568423254,2385098.635481643,-1.5258789e-05,305.86,2385098.635481643,1.0,9.094947017729283e-15,3.5044917e-18,1.0,9.094947017729283e-15,-129.8867,1.0,0.01,1.0,1536.6353
100.0,0.01,,0.009999998,100,100.0,2920.187924554995,2592260.626192795,5.722046e-06,292.85,2592260.626192795,1.0,-7.503331289626658e-14,3.5044917e-18,1.0,-7.503331289626658e-14,-135.41003,1.0,0.01,1.0,1601.9794
100.0,0.01,,0.009999998,100,100.0,3066.263839252977,2672055.469321141,3.8146973e-06,307.44,2672055.469321141,1.0,1.0459189070388675e-13,3.5044917e-18,1.0,1.0459189070388675e-13,-137.47833,1.0,0.01,1.0,1626.4485
