EpsThisIter,VarNormIw,AvgVanillaIw,renyi2,VarJ,MaxVanillaIw,SamplesThisIter,Bound,MaxNormIw,AvgDiscRet,ESSRenyi,VarDiscRet,VarRet,IterType,delta,AvgEpLen,MinVanillaIw,VanillaAvgRet,ESSClassic,BatchSize,AvgRet,VarVanillaIw,AvgNormIw,J,MinNormIw
105,5.59928e-10,0.948452,nan,2383.54,2.7524,50000,4590.48,0.000153545,4760.76393982,nan,1144144.7495,1144144.7495,1,0.6,476.19047619,7.25861e-06,4760.76393982,1.24079871328,100,4760.76393982,0.179923,5.29101e-05,895979.0,4.04927e-10
127,2.41568e-09,0.843992,nan,4832.51,8.96138,50000,4565.74,0.000464473,3933.88510029,nan,3591570.83716,3591570.83716,1,0.6,393.700787402,8.46626e-31,3933.88510029,1.97369562678,100,3933.88510029,0.899224,4.37445e-05,886207.0,4.38811e-35
110,1.08809e-09,0.871917,nan,2666.53,3.43002,50000,4580.12,0.000198681,4543.87774414,nan,1891810.43636,1891810.43636,1,0.6,454.545454545,6.06147e-09,4543.87774414,1.31477595336,100,4543.87774414,0.324298,5.05051e-05,893259.0,3.51105e-13
112,1.18596e-09,0.918056,nan,4249.87,4.57495,50000,4587.89,0.000247187,4462.55365062,nan,2397919.00258,2397919.00258,1,0.6,446.428571429,2.90891e-14,4462.55365062,1.39895147582,100,4462.55365062,0.406247,4.96032e-05,891259.0,1.5717e-18
122,2.00666e-09,0.858338,nan,4587.6,6.24091,50000,4577.99,0.000331099,4095.95902354,nan,3324277.56605,3324277.56605,1,0.6,409.836065574,5.26429e-31,4095.95902354,1.82436353295,100,4095.95902354,0.712944,4.55373e-05,888139.0,2.79286e-35
118,1.84822e-09,0.962257,nan,5233.52,7.19854,50000,4582.94,0.000352208,4235.14077131,nan,3037648.98027,3037648.98027,1,0.6,423.728813559,3.41539e-29,4235.14077131,2.28186714399,100,4235.14077131,0.772048,4.7081e-05,887585.0,1.67107e-33
533,1.77353e-07,167.534,nan,33519.1,734106.0,50000,4398.59,0.0456726,929.352240791,nan,3024717.93561,3024717.93561,1,0.6,93.808630394,,929.352240791,6.16620234782,100,929.352240791,4.5819e+07,1.04232e-05,735667.0,
308,5.3601e-07,7.05715,nan,28607.3,47557.8,50000,4517.38,0.121554,1616.06470444,nan,4576050.50362,4576050.50362,1,0.6,162.337662338,,1616.06470444,2.00118158403,100,1616.06470444,82049.8,1.80375e-05,816689.0,
123,1.99192e-09,1.00431,nan,6223.91,7.80635,50000,4579.23,0.000351076,4062.55415902,nan,3623743.80803,3623743.80803,1,0.6,406.504065041,5.77043e-23,4062.55415902,2.6992065524,100,4062.55415902,0.984839,4.51671e-05,884090.0,2.59514e-27
115,1.49302e-09,0.870319,nan,4602.75,4.57921,50000,4579.62,0.00025418,4345.90682494,nan,2317395.66758,2317395.66758,1,0.6,434.782608696,3.38141e-12,4345.90682494,1.8076095184,100,4345.90682494,0.484577,4.83092e-05,888887.0,1.87694e-16
109,9.9793e-10,0.963023,nan,4041.12,5.75321,50000,4585.63,0.000304491,4585.65541303,nan,1863390.52562,1863390.52562,1,0.6,458.71559633,3.91878e-09,4585.65541303,1.92931132497,100,4585.65541303,0.356263,5.09684e-05,891720.0,2.07403e-13
108,1.10317e-09,1.03085,nan,4436.06,3.82185,50000,4586.15,0.000190714,4628.2211463,nan,1535611.3884,1535611.3884,1,0.6,462.962962963,3.44274e-08,4628.2211463,1.94069863184,100,4628.2211463,0.443019,5.14403e-05,889681.0,1.71796e-12
107,9.00844e-10,0.948727,nan,2912.46,5.36483,50000,4586.26,0.000293602,4671.55683011,nan,1485716.88696,1485716.88696,1,0.6,467.289719626,6.39925e-09,4671.55683011,3.36771203279,100,4671.55683011,0.300777,5.19211e-05,893736.0,3.50212e-13
105,5.09757e-10,0.957536,nan,2462.94,2.88926,50000,4590.49,0.00015965,4760.71623787,nan,1144121.89306,1144121.89306,1,0.6,476.19047619,5.19888e-07,4760.71623787,1.1234384083,100,4760.71623787,0.166954,5.29101e-05,896268.0,2.87271e-11
114,1.37731e-09,0.913054,nan,4678.44,4.51886,50000,4579.91,0.000241188,4384.12475799,nan,2602223.90286,2602223.90286,1,0.6,438.596491228,7.01192e-13,4384.12475799,1.52367951998,100,4384.12475799,0.48348,4.87329e-05,888810.0,3.74251e-17
129,2.21447e-09,0.926722,nan,8257.65,8.21894,50000,4576.91,0.000381948,3873.16118993,nan,4020818.35641,4020818.35641,1,0.6,387.596899225,,3873.16118993,3.49832629332,100,3873.16118993,1.0254,4.30663e-05,876515.0,
109,9.56995e-10,0.948078,nan,4144.89,4.7689,50000,4589.62,0.000256375,4585.64436339,nan,1908229.93565,1908229.93565,1,0.6,458.71559633,3.79078e-12,4585.64436339,1.46887636248,100,4585.64436339,0.331128,5.09684e-05,891799.0,2.03791e-16
109,1.01001e-09,0.934778,nan,3983.7,4.08446,50000,4589.13,0.000222704,4585.69496775,nan,1906438.88936,1906438.88936,1,0.6,458.71559633,2.32838e-10,4585.69496775,1.56298779325,100,4585.69496775,0.339736,5.09684e-05,892067.0,1.26954e-14
117,1.49872e-09,0.870695,nan,5123.94,4.97587,50000,4586.9,0.000271359,4271.41826345,nan,3118189.86576,3118189.86576,1,0.6,427.35042735,1.17951e-28,4271.41826345,1.53989837958,100,4271.41826345,0.50393,4.74834e-05,889117.0,6.43248e-33
110,9.98898e-10,0.89598,nan,3990.37,5.28112,50000,4589.41,0.000297689,4543.9024153,nan,2079113.9523,2079113.9523,1,0.6,454.545454545,1.23013e-08,4543.9024153,2.73201960565,100,4543.9024153,0.314375,5.05051e-05,892264.0,6.93404e-13
102,2.46983e-10,0.991716,nan,2698.93,2.12928,50000,4590.68,0.000116943,4901.04956251,nan,485164.215284,485164.215284,1,0.6,490.196078431,0.00252257,4901.04956251,1.06150530399,100,4901.04956251,0.0818818,5.44662e-05,896526.0,1.38543e-07
112,1.1331e-09,0.919208,nan,5209.55,6.13422,50000,4588.97,0.000331021,4462.56597534,nan,2411287.21189,2411287.21189,1,0.6,446.428571429,2.87282e-09,4462.56597534,1.81057138816,100,4462.56597534,0.389114,4.96032e-05,889601.0,1.55026e-13
114,1.36361e-09,0.937567,nan,5417.73,5.03515,50000,4588.05,0.000261718,4384.09250347,nan,2706777.73736,2706777.73736,1,0.6,438.596491228,2.70766e-21,4384.09250347,2.03375213339,100,4384.09250347,0.504719,4.87329e-05,888491.0,1.40739e-25
102,2.33451e-10,1.01521,nan,2331.74,2.04689,50000,4590.55,0.000109816,4901.03705212,nan,483193.585313,483193.585313,1,0.6,490.196078431,0.00125346,4901.03705212,0.883440373145,100,4901.03705212,0.0811065,5.44662e-05,897002.0,6.72482e-08
102,2.55242e-10,0.994132,nan,2502.44,2.41334,50000,4590.76,0.000132221,4901.0720234,nan,485168.637858,485168.637858,1,0.6,490.196078431,0.000162904,4901.0720234,1.47914820193,100,4901.0720234,0.0850328,5.44662e-05,896733.0,8.92516e-09
114,1.34402e-09,0.912248,nan,4889.85,5.32367,50000,4588.27,0.000284394,4384.06636066,nan,2706743.74242,2706743.74242,1,0.6,438.596491228,4.70597e-15,4384.06636066,1.67265444561,100,4384.06636066,0.470963,4.87329e-05,889825.0,2.51396e-19
100,1.91197e-15,1.0,inf,1.48109,1.00784,50000,4591.05,5.59912e-05,4999.24704692,,0.0123233984994,0.0123233984994,1,0.6,500.0,0.986662,4999.24704692,0.55602793457,100,4999.24704692,6.19479e-07,5.55556e-05,899864.0,5.48145e-05
117,1.6756e-09,0.919162,nan,4644.05,5.8853,50000,4579.05,0.000304031,4271.43304083,nan,2604291.41987,2604291.41987,1,0.6,427.35042735,5.0948e-22,4271.43304083,2.11710828799,100,4271.43304083,0.627872,4.74834e-05,889238.0,2.63194e-26
118,1.74828e-09,0.970903,nan,5697.43,5.38682,50000,4584.31,0.000261218,4235.15262593,nan,3032264.32908,3032264.32908,1,0.6,423.728813559,3.16305e-21,4235.15262593,2.61624397408,100,4235.15262593,0.743484,4.7081e-05,885850.0,1.53382e-25
113,1.38722e-09,0.934556,nan,5971.46,6.41581,50000,4588.08,0.000337517,4422.93326188,nan,2562318.01028,2562318.01028,1,0.6,442.477876106,3.21589e-18,4422.93326188,1.88314641015,100,4422.93326188,0.501254,4.91642e-05,886641.0,1.69179e-22
114,1.26602e-09,0.924425,nan,5845.26,4.74707,50000,4588.15,0.000250251,4384.11798386,nan,2706808.13132,2706808.13132,1,0.6,438.596491228,3.94002e-22,4384.11798386,1.93352400371,100,4384.11798386,0.455553,4.87329e-05,887316.0,2.07706e-26
104,5.44441e-10,1.01542,nan,3058.05,3.08622,50000,4590.26,0.000162358,4806.60847451,nan,933119.302424,933119.302424,1,0.6,480.769230769,7.17309e-08,4806.60847451,1.25918247104,100,4806.60847451,0.196724,5.34188e-05,895106.0,3.77357e-12
111,1.14619e-09,0.957889,nan,4575.73,4.36803,50000,4588.73,0.000228231,4502.86030546,nan,2242513.85098,2242513.85098,1,0.6,450.45045045,3.51079e-15,4502.86030546,1.87415358901,100,4502.86030546,0.419835,5.005e-05,890709.0,1.8344e-19
100,1.82811e-15,1.0,inf,1.14322,1.01175,50000,4591.06,5.62082e-05,4999.24944015,,0.00733868470782,0.00733868470782,1,0.6,500.0,0.99007,4999.24944015,0.555789271847,100,4999.24944015,5.92308e-07,5.55556e-05,899865.0,5.50038e-05
100,1.38032e-15,0.999992,inf,0.826859,1.00603,50000,4591.1,5.5891e-05,4999.29344069,,0.00383572460396,0.00383572460396,1,0.6,500.0,0.984121,4999.29344069,0.555785686884,100,4999.29344069,4.47215e-07,5.55556e-05,899873.0,5.46738e-05
104,4.91397e-10,1.00142,nan,3512.97,2.92135,50000,4590.37,0.000155834,4806.62278348,nan,933124.791354,933124.791354,1,0.6,480.769230769,4.6985e-05,4806.62278348,1.10049678475,100,4806.62278348,0.172694,5.34188e-05,894190.0,2.50632e-09
102,2.42411e-10,0.995199,nan,2539.19,2.24557,50000,4590.55,0.000122898,4901.03251951,nan,483192.33322,483192.33322,1,0.6,490.196078431,0.00132871,4901.03251951,0.915394245666,100,4901.03251951,0.0809315,5.44662e-05,896670.0,7.27187e-08
104,4.84737e-10,0.992696,nan,3820.94,2.93716,50000,4589.9,0.000158054,4806.60349007,nan,929269.163587,929269.163587,1,0.6,480.769230769,0.000178007,4806.60349007,1.13253581468,100,4806.60349007,0.167398,5.34188e-05,893631.0,9.5789e-09
105,5.09856e-10,0.953053,nan,2666.4,2.44957,50000,4590.41,0.000135991,4760.74237353,nan,1144134.39747,1144134.39747,1,0.6,476.19047619,3.17758e-05,4760.74237353,1.09967199773,100,4760.74237353,0.165427,5.29101e-05,896160.0,1.76407e-09
104,5.07079e-10,0.999605,nan,3205.91,2.69617,50000,4590.13,0.000144083,4806.62805373,nan,931200.874854,931200.874854,1,0.6,480.769230769,1.31029e-07,4806.62805373,1.1559268729,100,4806.62805373,0.17756,5.34188e-05,894726.0,7.0022e-12
105,5.46689e-10,0.938334,nan,2962.16,2.85497,50000,4590.42,0.000160984,4760.7189282,nan,1144123.29224,1144123.29224,1,0.6,476.19047619,0.000196017,4760.7189282,1.09215102621,100,4760.7189282,0.171941,5.29101e-05,895563.0,1.10528e-08
