IterType,MaxVanillaIw,AvgDiscRet,VarDiscRet,VarVanillaIw,MaxNormIw,Bound,Delta,VarNormIw,AvgNormIw,AvgVanillaIw,VanillaAvgRet,VarJ,MinNormIw,VarRet,J,AvgRet,EpsThisIter,ESSRenyi,BatchSize,eRenyi2,ESSClassic,AvgEpLen,MinVanillaIw
2,1.0,-550.516141174,2513.5832039,,0.01,-760.353,0.1,3.50449e-18,0.01,1.0,-550.516141174,49.8843,0.01,2513.5832039,-550.516,-550.516141174,100,200.0,200,1.0,100.0,500.0,1.0
1,1.30028,-553.444149934,5851.87120318,0.0246907,0.0065479,-781.464,0.1,6.26126e-07,0.005,0.9929,-553.444149934,52.5493,0.00219357,5851.87120318,-547.198,-553.444149934,100,196.258835599,200,1.01906,195.13720943,500.0,0.435599
2,1.0,-553.44412544,2850.45391405,,0.01,-776.767,0.1,3.50449e-18,0.01,1.0,-553.44412544,53.122,0.01,2850.45391405,-553.444,-553.44412544,100,200.0,200,1.0,100.0,500.0,1.0
1,1.22299,-555.496656627,8351.46487251,0.012878,0.00611018,-813.733,0.1,3.21448e-07,0.005,1.00078,-555.496656627,64.2598,0.0028001,8351.46487251,-550.632,-555.496656627,100,197.226010786,200,1.01407,197.473580294,500.0,0.560455
2,1.0,-537.353724229,2656.60814039,,0.01,-741.916,0.1,3.50449e-18,0.01,1.0,-537.353724229,51.2839,0.01,2656.60814039,-537.354,-537.353724229,100,200.0,200,1.0,100.0,500.0,1.0
1,1.3648,-549.335669988,3001.81344471,0.0338254,0.00681297,-689.029,0.1,8.42897e-07,0.005,1.00162,-549.335669988,51.9499,0.0023118,3001.81344471,-538.818,-549.335669988,100,193.959528103,200,1.03114,193.508265316,500.0,0.463111
2,1.0,-553.224704961,23124.812309,,0.01,-1141.31,0.1,3.50449e-18,0.01,1.0,-553.224704961,151.306,0.01,23124.812309,-553.225,-553.224704961,100,200.0,200,1.0,100.0,500.0,1.0
1,1.18867,-548.576160549,2459.87120408,0.00706104,0.00598922,-965.544,0.1,1.79262e-07,0.005,0.992339,-548.576160549,105.17,0.00347104,2459.87120408,-548.466,-548.576160549,100,198.81678458,200,1.00595,198.583183805,500.0,0.688889
2,1.0,-533.733029416,2997.78474377,,0.01,-737.359,0.1,3.50449e-18,0.01,1.0,-533.733029416,54.4776,0.01,2997.78474377,-533.733,-533.733029416,100,200.0,200,1.0,100.0,500.0,1.0
1,1.57128,-536.004955226,2615.37584113,0.0555139,0.00801939,-675.681,0.1,1.44603e-06,0.005,0.979674,-536.004955226,51.4806,0.00192401,2615.37584113,-528.681,-536.004955226,100,191.882042728,200,1.04231,189.115912898,500.0,0.376981
2,1.0,-529.682835797,2795.31340658,,0.01,-727.108,0.1,3.50449e-18,0.01,1.0,-529.682835797,52.6057,0.01,2795.31340658,-529.683,-529.682835797,100,200.0,200,1.0,100.0,500.0,1.0
