entropy,optimgain,meankl,EpisodesSoFar,ev_tdlam_before,surrgain,DiscEpRewMean,EpLenMean,TimestepsSoFar,entloss,EpRewMean,EpThisIter,TimeElapsed,Step_size
0.4189424,0.0033874456,0.009607251,29200,,0.0033874456,209.8437366962433,105.14,2974864,,1041.12934131116,100,3015.5089716911316,1.0
0.4189424,0.005118674,0.009940633,29300,,0.005118674,210.94423593521117,103.78,2985242,,1027.5313823933598,100,3026.9032287597656,1.0
0.4189424,0.010701044,0.009925482,29400,,0.010701044,208.9429738330841,101.9,2995432,,1008.728737221006,100,3038.57292675972,1.0
0.4189424,0.008818129,0.009039105,29500,,0.008818129,208.14370898246764,101.55,3005587,,1005.2281441065068,100,3049.523666858673,1.0
0.4189424,0.0035776293,0.00778758,29600,,0.0035776293,221.14194285392762,102.12,3015799,,1010.9280407035762,100,3060.8688418865204,1.0
0.4189424,0.009660403,0.009125978,29700,,0.009660403,225.24102685928344,106.14,3026413,,1051.1311259481508,100,3071.802186489105,1.0
0.4189424,0.0058962475,0.0070238104,29800,,0.0058962475,251.34151965141297,108.79,3037292,,1077.6340379176183,100,3083.6493966579437,1.0
0.4189424,0.007088308,0.009020187,29900,,0.007088308,245.6384510231018,112.71,3048563,,1116.8334344971222,100,3094.5111882686615,1.0
0.4189424,0.0055177687,0.010044726,30000,,0.0055177687,241.24052949905396,111.14,3059677,,1101.1326093632642,100,3105.878841638565,1.0
0.4189424,0.004626207,0.009954447,30100,,0.004626207,237.03951573371887,109.89,3070666,,1088.6319193240247,100,3116.9033286571503,1.0
0.4189424,0.01307501,0.009956825,30200,,0.01307501,241.14050672531127,110.61,3081727,,1095.8330775097447,100,3128.2596213817596,1.0
0.4189424,0.0039753816,0.008041505,30300,,0.0039753816,230.34221232414245,109.05,3092632,,1080.233270526671,100,3139.488744497299,1.0
0.4189424,0.0047091017,0.0083185695,30400,,0.0047091017,223.74137850761414,110.58,3103690,,1095.5331490840906,100,3151.3691787719727,1.0
0.4189424,0.00023253662,0.004502853,30500,,0.00023253662,257.73844858169554,112.81,3114971,,1117.8347456530814,100,3162.928465127945,1.0
0.4189424,0.0033350037,0.006631841,30600,,0.0033350037,247.24195043563842,107.84,3125755,,1068.1384935933263,100,3174.2664034366608,1.0
0.4189424,0.007413258,0.009029129,30700,,0.007413258,222.44486295700074,105.6,3136315,,1045.7389917555838,100,3186.075657606125,1.0
0.4189424,0.003745512,0.006757497,30800,,0.003745512,231.1428500366211,106.22,3146937,,1051.936141270107,100,3197.677036523819,1.0
0.4189424,0.005850211,0.008850777,30900,,0.005850211,227.54365538597108,105.13,3157450,,1041.0371110085919,100,3208.5147709846497,1.0
0.4189424,0.0038898364,0.0045244885,31000,,0.0038898364,204.14448746681214,103.58,3167808,,1025.5338383924623,100,3219.4692044258118,1.0
0.4189424,0.005643373,0.0039476245,31100,,0.005643373,227.34391275405883,105.69,3178377,,1046.6351160992601,100,3230.8927206993103,1.0
0.4189424,0.0044669467,0.004943406,31200,,0.0044669467,234.34091939926148,106.39,3189016,,1053.6318876326357,100,3241.8976554870605,1.0
0.4189424,0.0051887953,0.009169999,31300,,0.0051887953,254.74002060890197,110.49,3200065,,1094.6273773605533,100,3253.8419737815857,1.0
0.4189424,0.005592767,0.009008628,31400,,0.005592767,224.84085646629333,109.41,3211006,,1083.8283612490977,100,3265.0493080615997,1.0
0.4189424,0.0041113123,0.00887909,31500,,0.0041113123,272.2363488960266,113.46,3222352,,1124.325144955393,100,3276.5297558307648,1.0
0.4189424,0.0048718946,0.006488936,31600,,0.0048718946,253.2392073917389,108.23,3233175,,1072.0294104422514,100,3286.7224736213684,1.0
0.4189424,0.0045063733,0.0048624813,31700,,0.0045063733,262.6369122219086,111.5,3244325,,1104.7273869390826,100,3297.3686561584473,1.0
0.4189424,0.007597013,0.009899016,31800,,0.007597013,228.7414368247986,106.48,3254973,,1054.5300809275836,100,3308.763053417206,1.0
0.4189424,0.0021527514,0.009590369,31900,,0.0021527514,262.03778876304625,111.82,3266155,,1107.9334345205273,100,3320.0350756645203,1.0
0.4189424,0.0104153585,0.010132678,32000,,0.0104153585,241.64168592453004,108.6,3277015,,1075.7339116084481,100,3331.925728559494,1.0
0.4189424,0.0025719916,0.008157428,32100,,0.0025719916,241.6414603614807,108.34,3287849,,1073.1315565282048,100,3343.195297718048,1.0
0.4189424,0.0032628423,0.009261316,32200,,0.0032628423,265.4374602603912,113.51,3299200,,1124.833091336863,100,3355.131304502487,1.0
0.4189424,0.0046147853,0.008986877,32300,,0.0046147853,251.84001336097717,108.7,3310070,,1076.7285667644546,100,3366.0211713314056,1.0
0.4189424,0.00919364,0.00994202,32400,,0.00919364,220.44199729919433,104.48,3320518,,1034.5261521913824,100,3377.04741191864,1.0
0.4189424,0.0043406924,0.007842146,32500,,0.0043406924,248.73845213890075,108.04,3331322,,1070.1271351612086,100,3388.5798120498657,1.0
0.4189424,0.0062611345,0.009710931,32600,,0.0062611345,259.83771324157715,111.76,3342498,,1107.331835429146,100,3400.4750170707703,1.0
0.4189424,0.007761196,0.009956225,32700,,0.007761196,230.24131748199463,106.75,3353173,,1057.2301313545966,100,3412.20654463768,1.0
0.4189424,0.0070912065,0.009407028,32800,,0.0070912065,237.14066278457642,110.62,3364235,,1095.9339939126905,100,3423.889945745468,1.0
0.4189424,0.0042978637,0.009566651,32900,,0.0042978637,253.24030788421632,110.23,3375258,,1092.033472539755,100,3434.8670485019684,1.0
0.4189424,0.0012155115,0.009128959,33000,,0.0012155115,279.53811796188353,115.69,3386827,,1146.637604905803,100,3446.225377559662,1.0
0.4189424,0.0051885345,0.008603259,33100,,0.0051885345,236.04368441581727,109.72,3397799,,1086.9401704534998,100,3457.1384201049805,1.0
0.4189424,0.0042027123,0.007268546,33200,,0.0042027123,223.3448337841034,105.34,3408333,,1043.1406434392154,100,3468.175757408142,1.0
0.4189424,0.008370723,0.009742033,33300,,0.008370723,223.74573141098023,104.6,3418793,,1035.740511708626,100,3478.8359231948853,1.0
0.4189424,0.0141879385,0.00989557,33400,,0.0141879385,271.2357000541687,116.26,3430419,,1152.332601907623,100,3490.530939102173,1.0
