InitialReturnMax,MeanIW,RewardCompression,ReturnStepMax,Iteration,ReturnMeanIW,EpisodesSoFar,EpRewMean,TimeElapsed,Weights,InitialReturnMean,StdIW,MaxIW,InitialReturnMin,EmpiricalD2,ReturnStepMaxmin,Bound,EpThisIter,MeanEntropy,ESSRenyi,ESSClassic,MinIW,InitialBound,InitialReturnStd,EpLenMean,TimestepsSoFar
,1.0,0.98,100.0,78,-50.0,7800,-95.0,2228.9865157604218,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-95.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,21.79449462890625,112.48,862239
,1.0,0.98,100.0,79,-50.0,7900,-99.0,2257.6560196876526,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-99.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,9.949873924255371,105.36,872775
,1.0,0.98,100.0,80,-50.0,8000,-96.0,2284.164396762848,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-96.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,19.595918655395508,113.12,884087
100.0,1.0,0.98,100.0,81,,8100,-98.0,2308.3359525203705,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-3.3333334922790527,100,2.837890386581421,100.0,2.0,1.0,-3.3333335,19.899747848510742,105.95,894682
,1.0,0.98,100.0,82,-50.0,8200,-97.0,2337.3463187217712,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,115.3,906212
,1.0,0.98,100.0,83,-50.0,8300,-97.0,2363.940325498581,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,115.38,917750
,1.0,0.98,100.0,84,-50.0,8400,-95.0,2392.760700941086,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-95.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,21.79449462890625,111.81,928931
,1.0,0.98,100.0,85,-50.0,8500,-99.0,2416.3581347465515,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-99.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,9.949873924255371,113.91,940322
,1.0,0.98,100.0,86,-50.0,8600,-98.0,2441.5547692775726,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,109.37,951259
,1.0,0.98,100.0,87,-50.0,8700,-97.0,2465.022896528244,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,111.6,962419
,1.0,0.98,100.0,88,-50.0,8800,-96.0,2490.367313861847,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-96.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,19.595918655395508,105.93,973012
,1.0,0.98,100.0,89,-50.0,8900,-97.0,2513.593924999237,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,111.32,984144
,1.0,0.98,100.0,90,-50.0,9000,-99.0,2533.3318428993225,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-99.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,9.949873924255371,109.25,995069
,1.0,0.98,100.0,91,-50.0,9100,-98.0,2565.4842262268066,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,109.28,1005997
100.0,1.0,0.97,100.0,92,,9200,-94.0,2595.392208337784,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-94.0,,1.0,-100.0,1.0,,-3.3333334922790527,100,2.837890386581421,100.0,2.0,1.0,-3.3333335,31.048349380493164,118.67,1017864
