AvgVanillaIw,AvgNormIw,AvgRet,MinVanillaIw,J,VarDiscRet,ESSClassic,MaxNormIw,VarVanillaIw,AvgDiscRet,eRenyi2,MaxVanillaIw,AvgEpLen,VarJ,ESSRenyi,BatchSize,Bound,VanillaAvgRet,VarNormIw,VarRet,MinNormIw
1.0,0.009999998,90.30528084967413,1.0,90.305275,33.1287182064911,100.0,0.01,,90.30528084967413,1.0,1.0,500.0,5.7269044,100.0,100,81.79877,90.30528084967413,3.5044917e-18,33.1287182064911,0.01
1.0,0.009999998,89.98483026639853,1.0,89.984825,21.54781454429034,100.0,0.01,,89.98483026639853,1.0,1.0,500.0,4.618694,100.0,100,81.66541,89.98483026639853,3.5044917e-18,21.54781454429034,0.01
1.0,0.009999998,89.22555875786838,1.0,89.22556,20.694438591541523,100.0,0.01,,89.22555875786838,1.0,1.0,500.0,4.5263114,100.0,100,81.02886,89.22555875786838,3.5044917e-18,20.694438591541523,0.01
1.0,0.009999998,89.73895218608504,1.0,89.73895,22.409401494357148,100.0,0.01,,89.73895218608504,1.0,1.0,500.0,4.7101283,100.0,100,81.50097,89.73895218608504,3.5044917e-18,22.409401494357148,0.01
1.0,0.009999998,90.5105980649822,1.0,90.5106,21.79732649701732,100.0,0.01,,90.5105980649822,1.0,1.0,500.0,4.6453586,100.0,100,82.15969,90.5105980649822,3.5044917e-18,21.79732649701732,0.01
1.0,0.009999998,88.371457125563,1.0,88.37146,30.99140647403468,100.0,0.01,,88.371457125563,1.0,1.0,500.0,5.539088,100.0,100,80.164276,88.371457125563,3.5044917e-18,30.99140647403468,0.01
1.0,0.009999998,90.70076109959305,1.0,90.70075,22.762104720929422,100.0,0.01,,90.70076109959305,1.0,1.0,500.0,4.74705,100.0,100,82.34799,90.70076109959305,3.5044917e-18,22.762104720929422,0.01
1.0,0.009999998,89.80747010768049,1.0,89.807465,16.01557309971766,100.0,0.01,,89.80747010768049,1.0,1.0,500.0,3.981886,100.0,100,81.558685,89.80747010768049,3.5044917e-18,16.01557309971766,0.01
1.0,0.009999998,88.86627340551311,1.0,88.86627,33.918847074465184,100.0,0.01,,88.86627340551311,1.0,1.0,500.0,5.794796,100.0,100,80.6611,88.86627340551311,3.5044917e-18,33.918847074465184,0.01
1.0,0.009999998,90.2284253846477,1.0,90.228424,25.006959033375658,100.0,0.01,,90.2284253846477,1.0,1.0,500.0,4.97563,100.0,100,81.8749,90.2284253846477,3.5044917e-18,25.006959033375658,0.01
1.0,0.009999998,90.28493230917702,1.0,90.28493,31.25852132092939,100.0,0.01,,90.28493230917702,1.0,1.0,500.0,5.5629067,100.0,100,81.95552,90.28493230917702,3.5044917e-18,31.25852132092939,0.01
