AvgNormIw,J,VanillaAvgRet,AvgVanillaIw,VarRet,EpsThisIter,BatchSize,VarDiscRet,eRenyi2,MinNormIw,Delta,AvgDiscRet,AvgRet,Bound,ESSClassic,VarNormIw,MaxNormIw,ESSRenyi,MinVanillaIw,VarJ,VarVanillaIw,AvgEpLen,IterType,MaxVanillaIw
0.002,2519.94,2565.64095068,1.0,498885.38284,100,500,498885.38284,1.0,0.002,1.0,2565.64095068,2565.64095068,2519.94,500.000006643,5.43187e-20,0.002,500.0,1.0,668.886,,278.61,1,1.0
0.01,2529.88,2529.87549615,1.0,446266.173909,100,500,446266.173909,1.0,0.01,1.0,2529.87549615,2529.87549615,2529.88,100.0,3.50449e-18,0.01,500.0,1.0,664.683,,274.95,2,1.0
0.005,2459.47,2389.05950417,1.0,315269.832424,100,500,315269.832424,1.0,0.005,1.0,2389.05950417,2389.05950417,2459.47,200.000000102,2.1793e-19,0.005,500.0,1.0,617.995,,259.65,2,1.0
0.00333333,2446.94,2421.87320409,1.0,318601.979774,100,500,318601.979774,1.0,0.00333333,1.0,2421.87320409,2421.87320409,2446.94,299.999969474,5.43914e-20,0.00333333,500.0,1.0,600.054,,263.24,2,1.0
0.0025,2483.04,2591.33339437,1.0,400817.916223,100,500,400817.916223,1.0,0.0025,1.0,2591.33339437,2591.33339437,2483.04,400.0,5.4346e-20,0.0025,500.0,1.0,610.868,,281.59,2,1.0
0.002,2495.83,2547.02448225,1.0,451017.194549,100,500,451017.194549,1.0,0.002,1.0,2547.02448225,2547.02448225,2495.83,500.000006643,5.43187e-20,0.002,500.0,1.0,623.286,,276.63,1,1.0
0.01,2466.44,2466.4389963,1.0,375006.342254,100,500,375006.342254,1.0,0.01,1.0,2466.4389963,2466.4389963,2466.44,100.0,3.50449e-18,0.01,500.0,1.0,609.308,,267.97,2,1.0
0.005,2470.0,2473.56193808,1.0,428023.101399,100,500,428023.101399,1.0,0.005,1.0,2473.56193808,2473.56193808,2470.0,200.000000102,2.1793e-19,0.005,500.0,1.0,630.486,,268.65,2,1.0
0.00333333,2446.03,2398.09597599,1.0,356713.14532,100,500,356713.14532,1.0,0.00333333,1.0,2398.09597599,2398.09597599,2446.03,299.999969474,5.43914e-20,0.00333333,500.0,1.0,619.574,,260.85,2,1.0
0.0025,2462.33,2511.22633462,1.0,455583.364378,100,500,455583.364378,1.0,0.0025,1.0,2511.22633462,2511.22633462,2462.33,400.0,5.4346e-20,0.0025,500.0,1.0,633.607,,272.72,2,1.0
