Delta,AvgNormIw,AvgRet,BatchSize,VarJ,AvgEpLen,VarVanillaIw,VarRet,IterType,AvgVanillaIw,eRenyi2,AvgDiscRet,MinNormIw,VarNormIw,MaxNormIw,VanillaAvgRet,ESSRenyi,VarDiscRet,MinVanillaIw,EpsThisIter,MaxVanillaIw,J,ESSClassic,Bound
1.0,0.0025,-456.082279944,500,38.6148,500.0,,1208.53064401,2,1.0,1.0,-456.082279944,0.0025,5.4346e-20,0.0025,-456.082279944,500.0,1208.53064401,1.0,100,1.0,-464.318,400.0,-464.318
1.0,0.002,-464.161002196,500,75.2239,500.0,9.2172,1267.23348189,1,1.19682,inf,-464.161002196,8.18137e-08,2.57396e-05,0.0815007,-464.161002196,,1267.23348189,4.89581e-05,100,48.7708,-452.305,67.3670860332,-452.305
1.0,0.01,-454.800355049,500,35.5812,500.0,,1278.80914655,2,1.0,1.0,-454.800355049,0.01,3.50449e-18,0.01,-454.800355049,500.0,1278.80914655,1.0,100,1.0,-454.8,100.0,-454.8
1.0,0.005,-460.999628131,500,35.965,500.0,,1314.87585462,2,1.0,1.0,-460.999628131,0.005,2.1793e-19,0.005,-460.999628131,500.0,1314.87585462,1.0,100,1.0,-457.9,200.000000102,-457.9
1.0,0.00333333,-461.053114797,500,38.0138,500.0,,1759.1371591,2,1.0,1.0,-461.053114797,0.00333333,5.43914e-20,0.00333333,-461.053114797,500.0,1759.1371591,1.0,100,1.0,-458.951,299.999969474,-458.951
1.0,0.0025,-463.292223234,500,38.882,500.0,,1715.134706,2,1.0,1.0,-463.292223234,0.0025,5.4346e-20,0.0025,-463.292223234,500.0,1715.134706,1.0,100,1.0,-460.036,400.0,-460.036
1.0,0.002,-463.291714845,500,148.738,500.0,2666.57,1955.71530293,1,2.85236,inf,-463.291714845,,0.00131101,0.808098,-463.291714845,,1955.71530293,,100,1152.49,-427.603,1.52394025985,-427.603
1.0,0.01,-459.829474573,500,35.8621,500.0,,1299.07845494,2,1.0,1.0,-459.829474573,0.01,3.50449e-18,0.01,-459.829474573,500.0,1299.07845494,1.0,100,1.0,-459.829,100.0,-459.829
1.0,0.005,-464.052466071,500,34.7485,500.0,,1131.21854694,2,1.0,1.0,-464.052466071,0.005,2.1793e-19,0.005,-464.052466071,500.0,1131.21854694,1.0,100,1.0,-461.941,200.000000102,-461.941
1.0,0.00333333,-461.798481812,500,37.3123,500.0,,1779.49019194,2,1.0,1.0,-461.798481812,0.00333333,5.43914e-20,0.00333333,-461.798481812,500.0,1779.49019194,1.0,100,1.0,-461.893,299.999969474,-461.893
1.0,0.0025,-463.111483181,500,38.0833,500.0,,1640.03297913,2,1.0,1.0,-463.111483181,0.0025,5.4346e-20,0.0025,-463.111483181,500.0,1640.03297913,1.0,100,1.0,-462.198,400.0,-462.198
1.0,0.002,-462.830982421,500,131.529,500.0,1121.25,1283.88686657,1,2.18787,inf,-462.830982421,2.4635e-34,0.000936955,0.683799,-462.830982421,,1283.88686657,2.69492e-31,100,748.033,-441.995,2.12974107475,-441.995
1.0,0.01,-464.74722341,500,34.6299,500.0,,1211.34077012,2,1.0,1.0,-464.74722341,0.01,3.50449e-18,0.01,-464.74722341,500.0,1211.34077012,1.0,100,1.0,-464.747,100.0,-464.747
1.0,0.005,-460.221297378,500,38.678,500.0,,1800.5119644,2,1.0,1.0,-460.221297378,0.005,2.1793e-19,0.005,-460.221297378,500.0,1800.5119644,1.0,100,1.0,-462.484,200.000000102,-462.484
