AvgDiscRet,ESSClassic,BatchSize,Bound,VanillaAvgRet,MinNormIw,AvgEpLen,AvgRet,VarDiscRet,J,VarVanillaIw,VarNormIw,AvgVanillaIw,Delta,VarJ,AvgNormIw,eRenyi2,MaxVanillaIw,VarRet,MaxNormIw,ESSRenyi,EpsThisIter,IterType,MinVanillaIw
37.2763848498,13.4958510027,500,46.1544,37.2763848498,,500.0,37.2763848498,333.904433678,55.5763,41.0648,0.000144483,1.06624,0.8,88.597,0.002,21.7151,90.8018,333.904433678,0.170321,23.0254348385,100,1,
42.6365487092,100.0,500,38.4581,42.6365487092,0.01,496.3,42.6365487092,398.885697692,42.6365,,3.50449e-18,1.0,0.8,19.872,0.01,1.0,1.0,398.885697692,0.01,500.0,100,2,1.0
41.9056457546,200.000000102,500,38.7873,41.9056457546,0.005,497.71,41.9056457546,547.425985048,42.2711,,2.1793e-19,1.0,0.8,21.6462,0.005,1.0,1.0,547.425985048,0.005,500.0,100,2,1.0
39.9508756466,299.999969474,500,38.6532,39.9508756466,0.00333333,498.85,39.9508756466,480.947354467,41.4977,,5.43914e-20,1.0,0.8,21.732,0.00333333,1.0,1.0,480.947354467,0.00333333,500.0,100,2,1.0
40.4769921333,400.0,500,38.4158,40.4769921333,0.0025,497.09,40.4769921333,732.991102571,41.2425,,5.4346e-20,1.0,0.8,23.1478,0.0025,1.0,1.0,732.991102571,0.0025,500.0,100,2,1.0
45.4427549533,16.4306462548,500,46.3307,45.4427549533,2.10612e-38,500.0,45.4427549533,326.895979824,59.9433,32.1081,0.00011796,1.04345,0.8,88.2453,0.002,28.9896,86.118,326.895979824,0.165064,17.2475843947,100,1,1.09881e-35
47.5018460508,100.0,500,41.4632,47.5018460508,0.01,500.0,47.5018460508,367.491809212,47.5018,,3.50449e-18,1.0,0.8,19.074,0.01,1.0,1.0,367.491809212,0.01,500.0,100,2,1.0
44.6974179254,200.000000102,500,41.8297,44.6974179254,0.005,500.0,44.6974179254,347.671046769,46.0996,,2.1793e-19,1.0,0.8,18.8672,0.005,1.0,1.0,347.671046769,0.005,500.0,100,2,1.0
44.2847917915,299.999969474,500,42.0083,44.2847917915,0.00333333,500.0,44.2847917915,330.537990837,45.4947,,5.43914e-20,1.0,0.8,18.6313,0.00333333,1.0,1.0,330.537990837,0.00333333,500.0,100,2,1.0
47.533120813,400.0,500,42.985,47.533120813,0.0025,500.0,47.533120813,305.753083761,46.0043,,5.4346e-20,1.0,0.8,18.352,0.0025,1.0,1.0,305.753083761,0.0025,500.0,100,2,1.0
46.0253892393,60.9799397245,500,47.7194,46.0253892393,8.48588e-33,500.0,46.0253892393,290.950612843,55.8514,6.3086,2.88554e-05,0.935154,0.8,50.6856,0.002,9.06746,24.6227,290.950612843,0.0526601,55.1422219132,100,1,3.9678e-30
46.8366296265,100.0,500,42.0751,46.8366296265,0.01,500.0,46.8366296265,326.910426903,46.8366,,3.50449e-18,1.0,0.8,17.99,0.01,1.0,1.0,326.910426903,0.01,500.0,100,2,1.0
44.5684994704,200.000000102,500,42.3356,44.5684994704,0.005,500.0,44.5684994704,321.425372436,45.7026,,2.1793e-19,1.0,0.8,17.9503,0.005,1.0,1.0,321.425372436,0.005,500.0,100,2,1.0
