Bound,J,AvgRet,eRenyi2,MinVanillaIw,VarRet,AvgNormIw,VarNormIw,AvgDiscRet,AvgEpLen,MaxVanillaIw,ESSRenyi,VarJ,BatchSize,VarVanillaIw,MinNormIw,MaxNormIw,ESSClassic,AvgVanillaIw,VarDiscRet
-8.96714,-6.9019766,-7.0348857673120815,1.0050902,0.95324075,49.629048022013734,0.010000002,3.0838808e-06,-7.0348857673120815,200.0,1.5690868,99.49355426228054,6.876669,100,0.031375673,0.009450503,0.015556048,97.03737710794852,1.0086668,49.629048022013734
-9.080314,-7.10451,-7.113065761711985,1.0000458,0.9569698,45.78613882764042,0.009999999,1.705469e-08,-7.113065761711985,200.0,1.0049177,99.99542257281924,6.7252083,100,0.00017091594,0.009559354,0.010038315,99.98314796173578,1.0010821,45.78613882764042
-9.585309,-7.609643,-7.6694431735761315,1.0026356,0.70204026,47.035312617063376,0.009999998,1.1154339e-06,-7.6694431735761315,200.0,1.038347,99.7371329935367,6.886064,100,0.011184554,0.007010915,0.010369437,98.90777466747042,1.0013533,47.035312617063376
-10.662834,-8.818711,-8.842359388915074,1.0065483,0.53072286,64.89641986202662,0.009999999,3.769754e-06,-8.842359388915074,200.0,1.0623302,99.34943155944444,8.243878,100,0.036396276,0.005401269,0.01081154,96.40222980351948,0.9825892,64.89641986202662
-9.655926,-7.626515,-8.027276483831931,1.0256062,0.90459377,41.62812028281323,0.010000003,1.8583087e-05,-8.027276483831931,200.0,2.7369223,97.50331496541835,7.051368,100,0.19127163,0.008916353,0.026977153,84.46140903104724,1.0145334,41.62812028281323
-10.277166,-8.255368,-8.310811497965966,1.0007479,0.8343735,54.64896142774179,0.009999997,2.5341478e-07,-8.310811497965966,200.0,1.0199411,99.92526398822521,7.3518624,100,0.002560042,0.008301431,0.010147699,99.7497947946582,1.005096,54.64896142774179
-10.890619,-8.8640375,-8.915385253618044,1.0014926,0.7623054,51.48936905683349,0.01,6.4163834e-07,-8.915385253618044,200.0,1.0284662,99.85096050780794,7.1786504,100,0.0064401445,0.007608976,0.01026567,99.36876355636184,1.0018501,51.48936905683349
-10.010397,-8.085221,-8.147460252905203,1.0039521,0.61439174,52.715438569367294,0.009999998,2.0188993e-06,-8.147460252905203,200.0,1.0474994,99.6063412390829,7.212002,100,0.020008773,0.006171525,0.010522063,98.04048687353408,0.9955267,52.715438569367294
-9.294717,-7.2901416,-7.2883929975303126,1.0,0.9991249,51.63079473166689,0.0100000035,6.3750877e-10,-7.2883929975303126,200.0,1.0097008,100.0,7.150483,100,6.3720304e-06,0.009993655,0.010099439,99.9993322705943,0.9997593,51.63079473166689
-9.94426,-8.041898,-8.010102733290724,1.003711,0.9596201,54.43368619954862,0.009999999,1.6747082e-06,-8.010102733290724,200.0,1.5438207,99.63027353107663,7.280447,100,0.016375042,0.0097046,0.0156125985,98.36905675727414,0.9888301,54.43368619954862
-10.142299,-8.1375475,-8.154598700682866,1.0004579,0.8543605,52.619862781278954,0.01,2.143629e-07,-8.154598700682866,200.0,1.015492,99.9542326679614,7.2528367,100,0.0021478762,0.008535154,0.010144874,99.78822854550559,1.0009902,52.619862781278954
-9.551226,-7.685993,-7.634967881912936,1.0029149,0.96393836,48.886284742446996,0.009999999,1.1327842e-06,-7.634967881912936,200.0,1.4439757,99.70935664312391,7.0995073,100,0.011056268,0.009757051,0.014616023,98.8909919514315,0.9879402,48.886284742446996
-9.619756,-7.6222363,-7.637618206418025,1.0013933,0.7646674,53.553769753245476,0.010000002,6.8499475e-07,-7.637618206418025,200.0,1.0274819,99.86086204581362,7.2853,100,0.006830402,0.0076576066,0.01028951,99.32642623109102,0.9985723,53.553769753245476
-9.256475,-7.1816635,-7.5699561245678355,1.0268941,0.9026359,42.35184974715647,0.0100000035,1.7145703e-05,-7.5699561245678355,200.0,2.545908,97.38102568174547,6.9379373,100,0.17756797,0.008869679,0.025017159,85.48887199136286,1.0176647,42.35184974715647
-12.1275425,-10.190648,-10.17654738027754,1.001783,0.7721088,52.62202313179895,0.01,8.249307e-07,-10.17654738027754,200.0,1.0312397,99.82201601344191,7.2512283,100,0.008166386,0.0077601885,0.010364621,99.1899277729461,0.9949614,52.62202313179895
-10.328007,-8.351099,-8.33750791114723,1.0013552,0.9749495,60.604999779080444,0.01,5.237346e-07,-8.33750791114723,200.0,1.2393348,99.8646662799989,7.7444396,100,0.0051965774,0.009787662,0.012441866,99.48420717703009,0.9961005,60.604999779080444
-10.27208,-8.364892,-8.313037830797521,1.000374,0.8904912,61.1765943466281,0.010000002,2.2045077e-07,-8.313037830797521,200.0,1.0139881,99.96261802521407,7.7949266,100,0.0021737232,0.008967744,0.010211428,99.78221037493505,0.99299353,61.1765943466281
-9.694937,-7.557572,-7.792988441616209,1.0044655,0.64181894,52.0517771432419,0.010000002,1.1994024e-06,-7.792988441616209,200.0,1.050711,99.55543909157143,7.0242467,100,0.012429683,0.006304707,0.01032133,98.826524313209,1.0179996,52.0517771432419
-10.464444,-8.432215,-8.490304086808216,1.0012978,0.77527493,52.585561552962616,0.01,5.1798247e-07,-8.490304086808216,200.0,1.0264672,99.8703850648164,7.2287335,100,0.00521989,0.00772294,0.010225204,99.4898228432638,1.0038599,52.585561552962616
-9.764761,-7.8544374,-7.837009053837495,1.0001678,0.9111028,46.43844033961428,0.010000003,1.0324114e-07,-7.837009053837495,200.0,1.0092338,99.98321814880926,6.8287,100,0.0010271685,0.009134247,0.010118059,99.89786687601533,0.997458,46.43844033961428
-9.666413,-7.6634736,-7.742136472571766,1.003711,0.6169582,52.459378663569844,0.010000002,1.8243786e-06,-7.742136472571766,200.0,1.0459441,99.63027353107663,7.211091,100,0.01819841,0.006177269,0.010472473,98.22591551650733,0.99875563,52.459378663569844
