BatchSize,MinVanillaIw,ESSClassic,AvgVanillaIw,VarNormIw,VarJ,MinNormIw,eRenyi2,VarDiscRet,J,VarRet,VarVanillaIw,MaxNormIw,AvgRet,AvgDiscRet,ESSRenyi,AvgNormIw,AvgEpLen,Bound,MaxVanillaIw
100,1.0,100.0,1.0,3.5044917e-18,7.3001227,0.01,1.0,53.830099279494355,5.2154064e-08,53.83009927949437,,0.01,-8.5656124867662,5.506706202140776e-16,100.0,0.009999998,200.0,-1.2937224,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.9263597,0.01,1.0,48.459050449703305,-1.4901161e-08,48.459050449703305,,0.01,-7.712556996239552,5.062616992290713e-16,100.0,0.009999998,200.0,-1.3595977,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.441496,0.01,1.0,55.93521555795792,,55.93521555795792,,0.01,-6.987567548342139,-2.842170943040401e-16,100.0,0.009999998,200.0,-1.430252,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.0939746,0.01,1.0,50.832804181128274,,50.83280418112829,,0.01,-7.3478007401023016,8.881784197001252e-16,100.0,0.009999998,200.0,-1.3998088,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.102059,0.01,1.0,50.94873574277866,2.7939677e-09,50.94873574277866,,0.01,-7.580179180244816,3.907985046680551e-16,100.0,0.009999998,200.0,-1.382423,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.2085757,0.01,1.0,52.488452124426566,,52.488452124426566,,0.01,-7.964388110592145,-7.105427357601002e-17,100.0,0.009999998,200.0,-1.2105235,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.831542,0.01,1.0,47.141381495604854,-2.9802322e-08,47.14138149560486,,0.01,-7.70739598515662,1.447730824111204e-15,100.0,0.009999998,200.0,-1.3589647,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.1245437,0.01,1.0,51.27184495230851,1.4901161e-08,51.27184495230851,,0.01,-7.626005132614484,5.417888360170764e-16,100.0,0.009999998,200.0,-1.3420666,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.8292522,0.01,1.0,47.10978244747837,,47.10978244747837,,0.01,-8.103537676959233,1.7763568394002505e-17,100.0,0.009999998,200.0,-1.3029454,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.693646,0.01,1.0,45.25747026612184,2.9802322e-08,45.25747026612184,,0.01,-8.610587826748427,,100.0,0.009999998,200.0,-1.2164125,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.679035,0.01,1.0,45.06011353910777,7.450581e-09,45.06011353910776,,0.01,-7.23029283119939,-1.7408297026122454e-15,100.0,0.009999998,200.0,-1.3286376,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.328012,0.01,1.0,54.24218086475359,-1.4901161e-08,54.242180864753585,,0.01,-8.321482905303073,9.325873406851315e-16,100.0,0.009999998,200.0,-1.2789483,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.2358556,0.01,1.0,52.88647204918909,-1.4901161e-08,52.88647204918909,,0.01,-9.141296875051967,1.865174681370263e-15,100.0,0.009999998,200.0,-1.200538,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.516946,0.01,1.0,57.07523098257778,-4.4703484e-08,57.07523098257777,,0.01,-8.338506248169107,2.806643806252396e-15,100.0,0.009999998,200.0,-1.2835766,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.7990704,0.01,1.0,46.694299437741655,1.4901161e-07,46.69429943774167,,0.01,-8.048128143603096,2.1316282072803005e-15,100.0,0.009999998,200.0,-1.1988697,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.946704,0.01,1.0,48.74413971972506,-1.2665987e-07,48.74413971972506,,0.01,-8.297024756580553,1.056932319443149e-15,100.0,0.009999998,200.0,-1.3068053,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.7413726,0.01,1.0,45.90515435194161,2.9802322e-08,45.90515435194161,,0.01,-6.784063902555099,-4.263256414560601e-16,100.0,0.009999998,200.0,-1.3923365,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.834965,0.01,1.0,47.18863732801537,,47.18863732801538,,0.01,-7.92147645312478,7.638334409421077e-16,100.0,0.009999998,200.0,-1.345992,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.4137073,0.01,1.0,41.551155601944124,,41.551155601944124,,0.01,-6.4571207419546806,-9.769962616701378e-17,100.0,0.009999998,200.0,-1.4544789,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.0481133,0.01,1.0,50.177681241203004,,50.177681241203004,,0.01,-7.917179061246876,-3.907985046680551e-16,100.0,0.009999998,200.0,-1.2786682,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.8164315,0.01,1.0,46.933074128421445,4.4703484e-08,46.933074128421445,,0.01,-8.029597898793105,6.838973831690964e-16,100.0,0.009999998,200.0,-1.2471006,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.1407075,0.01,1.0,51.50474646740214,,51.50474646740214,,0.01,-7.49019289048199,-1.0302869668521452e-15,100.0,0.009999998,200.0,-1.3817284,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.2226186,0.01,1.0,52.693155400763,3.7252903e-08,52.693155400763,,0.01,-8.13365828211403,7.371880883511039e-16,100.0,0.009999998,200.0,-1.3074085,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.974644,0.01,1.0,49.137035956216984,-7.450581e-09,49.137035956216984,,0.01,-7.635799082908907,-6.217248937900877e-17,100.0,0.009999998,200.0,-1.3624319,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.5427766,0.01,1.0,57.46816144480926,-4.4703484e-08,57.46816144480926,,0.01,-8.802203484794529,-1.4299672557172017e-15,100.0,0.009999998,200.0,-1.2338018,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.690376,0.01,1.0,59.73927499294269,-5.5879354e-08,59.73927499294269,,0.01,-7.999830171187084,-4.884981308350689e-16,100.0,0.009999998,200.0,-1.3099937,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.9051533,0.01,1.0,48.16276953556675,-4.4703484e-08,48.162769535566746,,0.01,-8.078608155283987,-1.4210854715202005e-15,100.0,0.009999998,200.0,-1.2997144,1.0
